club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
1.FC Union Berlin,Taiwo Awoniyi,23.0,Nigeria,Centre-Forward,CF,30000000.0,Liverpool,England,8550000.0,in,summer,1 Bundesliga,2021,False,,taiwo awoniyi
1.FC Union Berlin,Tymoteusz Puchacz,22.0,Poland,Left-Back,LB,1500000.0,Lech Poznan,Poland,2500000.0,in,summer,1 Bundesliga,2021,False,,tymoteusz puchacz
1.FC Union Berlin,Leon Dajaku,20.0,Germany,Second Striker,SS,,FC Bayern II,Germany,1500000.0,in,summer,1 Bundesliga,2021,False,,leon dajaku
1.FC Union Berlin,Kevin Möhwald,28.0,Germany,Central Midfield,CM,,Werder Bremen,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,,kevin mohwald
1.FC Union Berlin,Frederik Rönnow,28.0,Denmark,Goalkeeper,GK,5500000.0,E. Frankfurt,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,,frederik ronnow
1.FC Union Berlin,Sven Michel,31.0,Germany,Centre-Forward,CF,,SC Paderborn,Germany,2500000.0,in,winter,1 Bundesliga,2021,False,,sven michel
1.FC Union Berlin,András Schäfer,22.0,Hungary,Central Midfield,CM,4000000.0,Dunajska Streda,Slovakia,1000000.0,in,winter,1 Bundesliga,2021,False,,andras schafer
1.FSV Mainz 05,Anton Stach,22.0,Germany,Central Midfield,CM,15000000.0,Greuther Fürth,Germany,4500000.0,in,summer,1 Bundesliga,2021,False,,anton stach
1.FSV Mainz 05,Silvan Widmer,28.0,Switzerland,Right-Back,RB,3500000.0,FC Basel,Switzerland,2500000.0,in,summer,1 Bundesliga,2021,False,,silvan widmer
Arminia Bielefeld,Robin Hack,22.0,Germany,Left Winger,LW,3000000.0,1.FC Nuremberg,Germany,1200000.0,in,summer,1 Bundesliga,2021,False,,robin hack
Arminia Bielefeld,Guilherme Ramos,23.0,Portugal,Centre-Back,CB,1000000.0,Feirense,Portugal,1200000.0,in,summer,1 Bundesliga,2021,False,,guilherme ramos
Arminia Bielefeld,Masaya Okugawa,25.0,Japan,Attacking Midfield,AM,2500000.0,RB Salzburg,Austria,1000000.0,in,summer,1 Bundesliga,2021,False,,masaya okugawa
Arminia Bielefeld,Florian Krüger,22.0,Germany,Centre-Forward,CF,,Erzgebirge Aue,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,,florian kruger
Arminia Bielefeld,George Bello,20.0,United States,Left-Back,LB,1000000.0,Atlanta,United States,1800000.0,in,winter,1 Bundesliga,2021,False,,george bello
Arminia Bielefeld,Burak İnce,18.0,Turkey,Right Winger,RW,,Altinordu,Turkey,1350000.0,in,winter,1 Bundesliga,2021,False,,burak ince
Bayer 04 Leverkusen,Odilon Kossounou,20.0,Cote d'Ivoire,Centre-Back,CB,28000000.0,Club Brugge,Belgium,23000000.0,in,summer,1 Bundesliga,2021,False,,odilon kossounou
Bayer 04 Leverkusen,Amine Adli,21.0,Morocco,Left Winger,LW,25000000.0,Toulouse,France,7500000.0,in,summer,1 Bundesliga,2021,False,,amine adli
Bayer 04 Leverkusen,Mitchel Bakker,21.0,Netherlands,Left Midfield,LM,9000000.0,Paris SG,France,7000000.0,in,summer,1 Bundesliga,2021,False,,mitchel bakker
Bayer 04 Leverkusen,Robert Andrich,26.0,Germany,Central Midfield,CM,11000000.0,Union Berlin,Germany,6500000.0,in,summer,1 Bundesliga,2021,False,,robert andrich
Bayer 04 Leverkusen,Piero Hincapié,19.0,Ecuador,Centre-Back,CB,35000000.0,CA Talleres,Argentina,6350000.0,in,summer,1 Bundesliga,2021,False,,piero hincapie
Bayer 04 Leverkusen,Zidan Sertdemir,16.0,Denmark,Central Midfield,CM,1000000.0,Nordsjaell. U19,Denmark,2500000.0,in,summer,1 Bundesliga,2021,False,,zidan sertdemir
Bayer 04 Leverkusen,Sardar Azmoun,27.0,Iran,Centre-Forward,CF,12000000.0,Zenit S-Pb,Russia,2500000.0,in,winter,1 Bundesliga,2021,False,,sardar azmoun
Bayern Munich,Dayot Upamecano,22.0,France,Centre-Back,CB,60000000.0,RB Leipzig,Germany,42500000.0,in,summer,1 Bundesliga,2021,False,,dayot upamecano
Bayern Munich,Marcel Sabitzer,27.0,Austria,Central Midfield,CM,20000000.0,RB Leipzig,Germany,15000000.0,in,summer,1 Bundesliga,2021,False,,marcel sabitzer
Borussia Dortmund,Donyell Malen,22.0,Netherlands,Right Winger,RW,35000000.0,PSV Eindhoven,Netherlands,30000000.0,in,summer,1 Bundesliga,2021,False,,donyell malen
