sofifa_id,player_url,short_name,long_name,age_x,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_name,player_short_name,club,name,age_y,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
223207,https://sofifa.com/player/223207/adam-lang/160002,A. Lang,Ádám Lang,22,1/17/1993,185,78,Hungary,,,,68,76,0,0,CB,Right,1,3,2,Medium/Medium,Normal,No,,,,,,,,SUB,2,66,41,44,44,71,67,,,,,,,,53,36,68,49,30,32,28,50,48,54,63,68,59,59,67,52,73,62,70,43,66,68,26,26,56,,75,71,70,6,9,13,9,16,alexander esswein,a. lang,Dijon FCO,Ádám Lang,23,Centre-Back,CB,,Videoton FC,Hungary,1000000,in,summer,Ligue 1,2016,FALSE,,adam lang
224031,https://sofifa.com/player/224031/adam-marusic/160002,A. Marušić,Adam Marušić,22,10/17/1992,177,81,Montenegro,KV Kortrijk,Belgian Jupiler Pro League,1,69,74,1300000,8000,RM,Right,1,2,3,High/High,Normal,No,,,RM,11,,7/1/2014,2017,,,78,67,63,71,42,73,,,,,,,"Beat Offside Trap, Long Shot Taker (AI), Speed Dribbler (AI)",65,65,57,64,64,73,58,48,63,72,74,82,63,64,70,71,70,75,74,71,67,47,69,66,58,,36,42,39,8,9,7,10,10,anderson esiti,a. marusic,KV Oostende,Adam Marusic,23,Left-Back,LB,8000000,KV Kortrijk,Belgium,2000000,in,summer,Jupiler Pro League,2016,FALSE,,adam marusic
190544,https://sofifa.com/player/190544/adem-ljajic/160002,A. Ljajić,Adem Ljajić,23,9/29/1991,182,74,Serbia,Inter,Italian Serie A,1,79,84,14000000,90000,"LW, RW",Right,1,4,3,Medium/Medium,Normal,No,,,SUB,20,Roma,,2016,,,80,78,77,82,32,61,,,,,,,"Long Shot Taker (AI), Technical Dribbler (AI)",73,77,47,77,74,82,80,82,74,84,82,79,82,70,76,79,68,68,64,81,44,33,76,80,78,,23,35,35,6,14,7,6,12,alfred duncan,a. ljajic,Torino FC,Adem Ljajic,24,Attacking Midfield,AM,,AS Roma,Italy,9000000,in,summer,Serie A,2016,FALSE,,adem ljajic
164082,https://sofifa.com/player/164082/adriano-correia-claro/160002,Adriano,Adriano Correia Claro,30,10/26/1984,173,73,Brazil,FC Barcelona,Spain Primera Division,1,79,79,7000000,90000,LB,Left,2,5,3,High/Medium,Normal,Yes,,,SUB,21,,7/1/2010,2017,,,76,71,77,82,77,72,,,,,,,Long Shot Taker (AI),81,59,66,79,53,82,84,69,77,82,78,74,79,83,78,88,74,75,68,85,79,78,77,69,59,,76,78,83,13,15,10,15,14,artur ionita,adriano,Besiktas JK,Adriano,31,Left-Back,LB,,Barcelona,Spain,2300000,in,summer,Super Lig,2016,FALSE,,adriano
203782,https://sofifa.com/player/203782/ahmad-benali/160002,A. Benali,Ahmad Benali,23,2/7/1992,173,68,Libya,Pescara,Italian Serie B,2,69,75,1400000,9000,CM,Right,1,3,2,Medium/Medium,Lean,No,,,RCM,23,Palermo,,2016,,,72,63,68,75,41,60,,,,,,,Playmaker (AI),59,66,33,73,44,72,58,62,72,75,74,70,85,66,90,61,60,73,57,64,51,50,67,71,59,,26,48,56,8,8,5,9,13,adam marusic,a. benali,Delfino Pescara 1936,Ahmad Benali,24,Central Midfield,CM,,US Palermo,Italy,1000000,in,summer,Serie A,2016,FALSE,,ahmad benali
201818,https://sofifa.com/player/201818/ahmed-musa/160002,A. Musa,Ahmed Musa,22,10/14/1992,168,69,Nigeria,PFC CSKA Moscow,Russian Premier League,1,76,82,7500000,80000,"ST, LM",Right,2,3,4,High/Medium,Lean,No,,"#Speedster, #Acrobat",LM,18,,1/7/2012,2019,,,93,76,65,82,28,53,,,,,,,"Injury Free, Speed Dribbler (AI)",65,78,65,72,75,82,60,48,53,80,95,92,90,77,88,78,82,80,45,73,33,24,79,66,69,,20,28,24,7,12,13,15,14,andrew hjulsager,a. musa,Leicester City,Ahmed Musa,23,Left Winger,LW,1300000,CSKA Moscow,Russia,19500000,in,summer,Premier League,2016,FALSE,,ahmed musa
201143,https://sofifa.com/player/201143/aissa-mandi/160002,A. Mandi,Aïssa Mandi,23,10/22/1991,184,78,Algeria,Stade de Reims,French Ligue 1,1,79,82,11000000,60000,"RB, CB",Right,1,3,2,Medium/Medium,Lean,No,,,RCB,23,,8/20/2010,2017,,,71,46,74,69,82,72,,,,,,,Injury Free,78,41,81,77,36,64,67,49,74,74,69,73,69,79,69,52,79,73,69,49,77,79,67,71,35,,82,82,85,15,16,9,10,14,amadou diawara,a. mandi,Real Betis Balompié,Aïssa Mandi,24,Centre-Back,CB,2500000,Stade Reims,France,2800000,in,summer,Laliga,2016,FALSE,,aissa mandi
213582,https://sofifa.com/player/213582/alan-ruiz/160002,A. Ruiz,Alan Nahuel Ruiz,21,8/19/1993,183,75,Argentina,Club Atlético Colón,Argentina Primera División,1,70,77,1900000,20000,RM,Left,1,2,3,Medium/Low,Normal,No,,,CM,9,San Lorenzo de Almagro,,2016,,,67,65,70,74,33,65,,,,,,,"Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",69,56,65,73,46,75,73,64,71,76,68,66,71,64,72,80,55,76,69,76,42,25,62,68,66,,29,33,31,7,7,16,13,16,anthony limbombe,a. ruiz,Sporting CP,Alan Ruiz,22,Attacking Midfield,AM,,San Lorenzo,Argentina,4840000,in,summer,Liga Portugal,2016,FALSE,,alan ruiz
186961,https://sofifa.com/player/186961/alberto-paloschi/160002,A. Paloschi,Alberto Paloschi,25,1/4/1990,182,82,Italy,Chievo Verona,Italian Serie A,1,77,81,9000000,50000,ST,Right,1,4,3,Medium/Medium,Normal,No,,,LS,43,,7/1/2011,2019,,,77,72,56,73,22,80,,,,,,,"Dives Into Tackles (AI), Beat Offside Trap, Power Header",52,83,77,66,77,69,71,47,35,77,78,76,82,77,71,73,89,78,78,41,83,21,86,59,79,,12,16,16,15,15,10,13,5,andrey lunev,a. paloschi,Atalanta BC,Alberto Paloschi,26,Centre-Forward,CF,,Swansea,England,6700000,in,summer,Serie A,2016,FALSE,,alberto paloschi
189060,https://sofifa.com/player/189060/aleksandar-dragovic/160002,A. Dragović,Aleksandar Dragović,24,3/6/1991,186,79,Austria,,,,78,84,0,0,"CB, CDM",Right,2,4,2,Medium/Medium,Normal,No,,,,,,,,RCB,3,72,51,62,65,82,76,,,,,,,,49,41,76,69,37,62,32,61,62,68,70,74,67,75,64,69,80,73,80,53,69,85,67,71,65,,80,84,77,10,7,11,13,8,ahmed musa,a. dragovic,Bayer 04 Leverkusen,Aleksandar Dragovic,25,Centre-Back,CB,4500000,Dynamo Kyiv,Ukraine,21000000,in,summer,1 Bundesliga,2016,FALSE,,aleksandar dragovic
