sofifa_id,player_url,short_name,long_name,age_x,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_name,player_short_name,club,name,age_y,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
198076,https://sofifa.com/player/198076/aymen-abdennour/150002,A. Abdennour,Aymen Abdennour,24,8/6/1989,187,84,Tunisia,AS Monaco,French Ligue 1,1,79,83,7500000,60000,CB,Left,2,3,2,High/High,Stocky,No,,#Strength,LCB,5,,7/1/2014,2018,,,72,57,63,63,79,84,,,,,,,Injury Free,66,50,74,71,31,58,47,38,66,68,68,76,66,76,68,74,72,75,90,65,85,79,52,52,50,,79,79,79,11,7,6,7,14,aymen abdennour,a. abdennour,Valencia CF,Aymen Abdennour,26,Centre-Back,CB,,Monaco,France,22000000,in,summer,Laliga,2015,FALSE,,aymen abdennour
7826,https://sofifa.com/player/7826/robin-van-persie/150002,R. van Persie,Robin van Persie,30,8/6/1983,187,71,Netherlands,Manchester United,English Premier League,1,88,88,40500000,230000,ST,Left,5,3,4,Medium/Low,Normal,Yes,,"#Distance Shooter, #Clinical Finisher",RS,20,,8/17/2012,2016,LS,9,74,90,82,83,33,68,,,,,,,"Injury Prone, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",81,91,73,85,92,84,86,81,75,87,73,74,80,88,59,90,59,72,72,86,55,34,90,82,86,,23,32,21,9,10,5,7,8,robin van persie,r. van persie,Fenerbahce,Robin van Persie,31,Centre-Forward,CF,,Man Utd,England,6500000,in,summer,Super Lig,2015,FALSE,,robin van persie
121944,https://sofifa.com/player/121944/bastian-schweinsteiger/150002,B. Schweinsteiger,Bastian Schweinsteiger,29,8/1/1984,183,79,Germany,FC Bayern München,German 1. Bundesliga,1,88,88,39000000,200000,"CM, CDM",Right,4,3,3,High/High,Normal,Yes,,"#Playmaker, #Engine, #Tactician",SUB,31,,7/1/2002,2016,SUB,7,61,81,85,82,78,80,,,,,,,"Injury Prone, Leadership, Playmaker (AI), One Club Player",81,76,79,88,83,81,82,78,87,86,58,64,74,90,75,86,82,86,77,86,80,86,82,86,81,,69,80,77,14,14,13,13,11,bastian schweinsteiger,b. schweinsteiger,Manchester United,Bastian Schweinsteiger,30,Central Midfield,CM,,Bayern Munich,Germany,9000000,in,summer,Premier League,2015,FALSE,,bastian schweinsteiger
183898,https://sofifa.com/player/183898/angel-di-maria/150002,A. Di María,Ángel Fabián Di María Hernández,26,2/14/1988,180,70,Argentina,Manchester United,English Premier League,1,86,88,45500000,230000,"CAM, CM, RM",Left,4,2,4,High/High,Lean,Yes,,"#Speedster, #Dribbler, #Crosser, #Acrobat",LCM,7,,8/27/2014,2019,LM,7,90,79,83,87,57,71,,,,,,,"Diver, Avoids Using Weaker Foot, Dives Into Tackles (AI), Flair",91,75,53,82,77,88,83,72,81,86,90,90,90,80,79,88,72,79,64,79,76,72,84,83,73,,42,63,61,10,7,11,12,11,angel di maria,a. di maria,Paris Saint-Germain,Ángel Di María,27,Right Winger,RW,8000000,Man Utd,England,63000000,in,summer,Ligue 1,2015,FALSE,,angel di maria
181872,https://sofifa.com/player/181872/arturo-vidal/150002,A. Vidal,Arturo Erasmo Vidal Pardo,27,5/22/1987,180,75,Chile,Juventus,Italian Serie A,1,85,87,23000000,190000,"CM, CDM",Right,4,4,3,High/High,Normal,Yes,,"#Engine, #Tactician",SUB,23,,7/1/2011,2017,RCM,8,78,78,80,81,81,83,,,,,,,Long Shot Taker (AI),76,78,71,85,78,80,76,65,79,84,79,77,79,84,78,77,81,93,75,78,89,86,79,80,86,,75,83,89,4,2,4,2,4,arturo vidal,a. vidal,Bayern Munich,Arturo Vidal,28,Central Midfield,CM,,Juventus,Italy,39250000,in,summer,1 Bundesliga,2015,FALSE,,arturo vidal
48940,https://sofifa.com/player/48940/petr-cech/150002,P. Čech,Petr Čech,32,5/20/1982,196,90,Czech Republic,Chelsea,English Premier League,1,85,85,18000000,170000,GK,Left,4,3,1,Medium/Medium,Normal,Yes,,,SUB,1,,7/1/2004,2016,GK,1,,,,,,,83,84,73,84,49,83,"Puncher, GK Long Throw, One Club Player, Team Player",25,25,25,35,25,25,25,25,33,32,45,52,49,86,50,21,38,32,65,25,25,23,25,25,43,,25,25,25,83,84,73,83,84,petr cech,p. cech,Arsenal FC,Petr Cech,33,Goalkeeper,GK,,Chelsea,England,14000000,in,summer,Premier League,2015,FALSE,,petr cech
143745,https://sofifa.com/player/143745/arda-turan/150002,A. Turan,Arda Turan,27,1/30/1987,177,76,Turkey,Atlético Madrid,Spain Primera Division,1,84,88,23000000,180000,"LM, RM, CAM",Right,3,4,4,High/High,Normal,Yes,,"#Dribbler, #Acrobat",LM,10,,8/9/2011,2017,LM,14,76,74,83,86,61,72,,,,,,,"Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",82,72,70,85,80,86,81,64,80,88,79,73,86,83,85,74,79,71,69,77,78,51,82,86,73,,58,64,70,11,7,11,12,11,arda turan,a. turan,FC Barcelona,Arda Turan,28,Left Winger,LW,,Atlético Madrid,Spain,34000000,in,summer,Laliga,2015,FALSE,,arda turan
181783,https://sofifa.com/player/181783/mario-mandzukic/150002,M. Mandžukić,Mario Mandžukić,28,5/21/1986,187,84,Croatia,Atlético Madrid,Spain Primera Division,1,83,83,17000000,160000,ST,Right,3,3,3,High/High,Lean,Yes,,"#Aerial Threat, #Strength",SUB,9,,7/10/2014,2018,,,75,82,61,75,43,87,,,,,,,"Beat Offside Trap, Power Header",64,85,91,74,82,75,58,45,42,79,74,76,76,83,50,83,86,84,87,75,90,41,84,53,80,,25,48,36,10,8,5,8,15,mario mandzukic,m. mandzukic,Juventus FC,Mario Mandzukic,29,Centre-Forward,CF,,Atlético Madrid,Spain,19000000,in,summer,Serie A,2015,FALSE,,mario mandzukic
196144,https://sofifa.com/player/196144/jackson-martinez/150002,J. Martínez,Jackson Arley Martínez Valencia,27,10/3/1986,185,85,Colombia,FC Porto,Portuguese Liga ZON SAGRES,1,82,85,18500000,150000,ST,Right,2,4,4,High/Medium,Normal,No,,#Strength,ST,9,,7/1/2012,2017,SUB,21,82,81,66,78,43,85,,,,,,,"Beat Offside Trap, Power Header",61,86,85,72,83,77,66,34,63,79,78,85,78,80,70,85,85,84,86,66,83,47,85,71,70,,27,47,33,15,5,12,14,14,jackson martinez,j. martinez,Atlético de Madrid,Jackson Martínez,28,Centre-Forward,CF,,FC Porto,Portugal,35000000,in,summer,Laliga,2015,FALSE,,jackson martinez
172723,https://sofifa.com/player/172723/asmir-begovic/150002,A. Begović,Asmir Begović,27,6/20/1987,200,83,Bosnia Herzegovina,Stoke City,English Premier League,1,82,84,15000000,100000,GK,Right,2,2,1,Medium/Medium,Lean,Yes,,,GK,1,,1/1/2010,2016,,,,,,,,,84,81,74,85,55,80,,25,25,25,26,25,25,25,25,23,24,52,58,53,78,41,28,38,36,82,25,42,21,25,25,40,,25,25,25,84,81,74,80,85,asmir begovic,a. begovic,Chelsea FC,Asmir Begovic,28,Goalkeeper,GK,,Stoke City,England,11000000,in,summer,Premier League,2015,FALSE,,asmir begovic
