sofifa_id,player_url,short_name,long_name,age_x,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_name,player_short_name,club,name,age_y,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
192119,https://sofifa.com/player/192119/thibaut-courtois/180002,T. Courtois,Thibaut Courtois,25,5/11/1992,199,94,Belgium,Chelsea,English Premier League,1,89,92,59000000,190000,GK,Left,4,3,1,Medium/Medium,Courtois,Yes,113600000,,GK,13,,7/26/2011,2019,GK,1,,,,,,,85,91,69,88,49,86,"GK Long Throw, Comes For Crosses",14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,85,91,69,86,88,thibaut courtois,t. courtois,Real Madrid,Thibaut Courtois,26,Goalkeeper,GK,45000000,Chelsea,England,35000000,in,summer,Laliga,2018,FALSE,,thibaut courtois
184344,https://sofifa.com/player/184344/leonardo-bonucci/180002,L. Bonucci,Leonardo Bonucci,30,5/1/1987,190,85,Italy,Milan,Italian Serie A,1,88,88,44000000,200000,CB,Right,3,3,2,Low/High,Lean,Yes,74800000,"#Tackling, #Tactician",RCB,19,,7/14/2017,2022,RCB,19,68,54,70,70,87,81,,,,,,,"Power Free-Kick, Injury Free, Leadership, Long Passer (AI), Power Header",44,39,88,79,58,69,56,61,85,75,62,72,60,86,52,74,85,73,85,65,82,90,38,74,70,84,84,88,88,2,2,3,2,4,leonardo bonucci,l. bonucci,Juventus FC,Leonardo Bonucci,31,Centre-Back,CB,1500000,AC Milan,Italy,35000000,in,summer,Serie A,2018,FALSE,,leonardo bonucci
181872,https://sofifa.com/player/181872/arturo-vidal/180002,A. Vidal,Arturo Erasmo Vidal Pardo,30,5/22/1987,180,75,Chile,FC Bayern München,German 1. Bundesliga,1,87,87,37500000,160000,"CDM, CM",Right,4,4,3,High/High,Normal,Yes,61900000,"#Engine, #Tackling",LDM,23,,7/28/2015,2019,CAM,8,75,81,80,79,83,84,,,,,,,"Dives Into Tackles (AI), Leadership, Long Shot Taker (AI), Through Ball",76,77,81,84,78,76,76,68,82,83,76,74,75,89,77,86,82,91,77,85,93,85,80,80,81,86,76,89,85,4,2,4,2,4,arturo vidal,a. vidal,FC Barcelona,Arturo Vidal,31,Central Midfield,CM,,Bayern Munich,Germany,18000000,in,summer,Laliga,2018,FALSE,,arturo vidal
172879,https://sofifa.com/player/172879/sokratis-papastathopoulos/180002,Sokratis,Sokratis Papastathopoulos,29,6/9/1988,186,85,Greece,Borussia Dortmund,German 1. Bundesliga,1,86,86,34500000,110000,CB,Right,3,3,2,Medium/High,Normal,Yes,58700000,"#Tackling, #Strength",RCB,25,,7/1/2013,2019,RCB,19,78,52,55,60,87,84,,,,,,,"Long Throw-in, Injury Free, Dives Into Tackles (AI)",47,44,87,64,46,58,36,35,64,58,71,84,62,81,68,79,87,74,86,48,91,80,50,52,33,82,88,90,86,6,8,5,12,5,sokratis papastathopoulos,sokratis,Arsenal FC,Sokratis Papastathopoulos,30,Centre-Back,CB,,Bor. Dortmund,Germany,16000000,in,summer,Premier League,2018,FALSE,,sokratis papastathopoulos
178518,https://sofifa.com/player/178518/radja-nainggolan/180002,R. Nainggolan,Radja Nainggolan,29,5/4/1988,176,77,Belgium,Roma,Italian Serie A,1,86,86,42500000,130000,"CM, CAM",Right,3,3,3,High/High,Stocky,Yes,72300000,"#Engine, #Tackling, #Tactician",RCM,4,,1/7/2014,2021,,,78,80,78,82,81,83,,,,,,,"Leadership, Long Shot Taker (AI)",73,76,59,84,75,80,73,68,81,85,80,76,81,87,84,84,76,94,76,86,88,86,88,76,63,85,78,86,88,11,11,14,8,11,radja nainggolan,r. nainggolan,Inter Milan,Radja Nainggolan,30,Central Midfield,CM,,AS Roma,Italy,38000000,in,summer,Serie A,2018,FALSE,,radja nainggolan
192563,https://sofifa.com/player/192563/bernd-leno/180002,B. Leno,Bernd Leno,25,3/4/1992,190,83,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,1,85,88,34000000,60000,GK,Right,3,4,1,Medium/Medium,Normal,No,60400000,,GK,1,,1/1/2012,2018,SUB,12,,,,,,,85,84,74,83,49,85,Cautious With Crosses,9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,84,74,85,83,bernd leno,b. leno,Arsenal FC,Bernd Leno,26,Goalkeeper,GK,12000000,B. Leverkusen,Germany,25000000,in,summer,Premier League,2018,FALSE,,bernd leno
189712,https://sofifa.com/player/189712/kevin-strootman/180002,K. Strootman,Kevin Strootman,27,2/13/1990,186,78,Netherlands,Roma,Italian Serie A,1,84,85,35000000,100000,"CM, CDM",Left,3,3,3,High/High,Normal,No,62100000,,LCM,6,,7/16/2013,2022,CDM,6,67,74,82,78,78,82,,,,,,,"Injury Prone, Leadership",74,68,68,86,63,76,75,74,83,85,65,68,65,84,68,85,53,82,83,78,86,84,78,84,77,85,72,83,75,7,12,11,6,7,kevin strootman,k. strootman,Olympique Marseille,Kevin Strootman,28,Central Midfield,CM,1300000,AS Roma,Italy,25000000,in,summer,Ligue 1,2018,FALSE,,kevin strootman
231747,https://sofifa.com/player/231747/kylian-mbappe/180002,K. Mbappé,Kylian Mbappé Lottin,18,12/20/1998,178,73,France,Paris Saint-Germain,French Ligue 1,1,83,94,41500000,60000,ST,Right,3,4,4,High/Medium,Normal,Yes,,#Dribbler,RW,29,AS Monaco,,2018,CF,12,90,80,74,85,47,74,,,,,,,"Finesse Shot, Speed Dribbler (AI), Technical Dribbler (AI)",70,87,76,78,74,86,75,58,68,87,89,90,78,79,76,79,71,83,74,68,62,49,79,77,70,80,41,44,40,13,5,7,11,6,kylian mbappe,k. mbappe,Paris Saint-Germain,Kylian Mbappé,19,Left Winger,LW,180000000,Monaco,France,180000000,in,summer,Ligue 1,2018,FALSE,,kylian mbappe
213565,https://sofifa.com/player/213565/thomas-lemar/180002,T. Lemar,Thomas Lemar,21,11/12/1995,170,58,France,AS Monaco,French Ligue 1,1,83,91,38000000,40000,LM,Left,3,2,3,High/Medium,Lean,No,80900000,#Dribbler,LM,27,,6/27/2015,2020,LM,8,85,78,80,86,62,70,,,,,,,"Technical Dribbler (AI), Set Play Specialist",82,78,54,82,75,88,81,81,71,86,86,84,85,76,84,82,72,79,69,76,63,66,76,82,68,79,63,59,63,11,15,13,7,14,thomas lemar,t. lemar,Atlético de Madrid,Thomas Lemar,22,Attacking Midfield,AM,15000000,Monaco,France,72000000,in,summer,Laliga,2018,FALSE,,thomas lemar
198009,https://sofifa.com/player/198009/mattia-perin/180002,M. Perin,Mattia Perin,24,11/10/1992,188,77,Italy,Genoa,Italian Serie A,1,83,88,25000000,30000,GK,Right,2,3,1,Medium/Medium,Lean,No,44400000,,GK,1,,1/1/2010,2019,SUB,14,,,,,,,80,85,71,90,56,78,"Injury Prone, Cautious With Crosses",11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,21,58,14,12,19,80,85,71,78,90,mattia perin,m. perin,Juventus FC,Mattia Perin,25,Goalkeeper,GK,4000000,Genoa,Italy,14200000,in,summer,Serie A,2018,FALSE,,mattia perin
