height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,fee,window,league,season
199,94,Belgium,89,92,Left,2019.0,14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,85,91,69,86,88,26.0,Goalkeeper,35000000,summer,Laliga,2018
190,85,Italy,88,88,Right,2022.0,44,39,88,79,58,69,56,61,85,75,62,72,60,86,52,74,85,73,85,65,82,90,38,74,70,84,84,88,88,2,2,3,2,4,31.0,Centre-Back,35000000,summer,Serie A,2018
180,75,Chile,87,87,Right,2019.0,76,77,81,84,78,76,76,68,82,83,76,74,75,89,77,86,82,91,77,85,93,85,80,80,81,86,76,89,85,4,2,4,2,4,31.0,Central Midfield,18000000,summer,Laliga,2018
186,85,Greece,86,86,Right,2019.0,47,44,87,64,46,58,36,35,64,58,71,84,62,81,68,79,87,74,86,48,91,80,50,52,33,82,88,90,86,6,8,5,12,5,30.0,Centre-Back,16000000,summer,Premier League,2018
176,77,Belgium,86,86,Right,2021.0,73,76,59,84,75,80,73,68,81,85,80,76,81,87,84,84,76,94,76,86,88,86,88,76,63,85,78,86,88,11,11,14,8,11,30.0,Central Midfield,38000000,summer,Serie A,2018
190,83,Germany,85,88,Right,2018.0,9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,84,74,85,83,26.0,Goalkeeper,25000000,summer,Premier League,2018
186,78,Netherlands,84,85,Left,2022.0,74,68,68,86,63,76,75,74,83,85,65,68,65,84,68,85,53,82,83,78,86,84,78,84,77,85,72,83,75,7,12,11,6,7,28.0,Central Midfield,25000000,summer,Ligue 1,2018
178,73,France,83,94,Right,2018.0,70,87,76,78,74,86,75,58,68,87,89,90,78,79,76,79,71,83,74,68,62,49,79,77,70,80,41,44,40,13,5,7,11,6,19.0,Left Winger,180000000,summer,Ligue 1,2018
170,58,France,83,91,Left,2020.0,82,78,54,82,75,88,81,81,71,86,86,84,85,76,84,82,72,79,69,76,63,66,76,82,68,79,63,59,63,11,15,13,7,14,22.0,Attacking Midfield,72000000,summer,Laliga,2018
188,77,Italy,83,88,Right,2019.0,11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,21,58,14,12,19,80,85,71,78,90,25.0,Goalkeeper,14200000,summer,Serie A,2018
