height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,fee,window,league,season
173,74,Belgium,91,91,Right,2020.0,81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,28,Left Winger,115000000,summer,Laliga,2019
176,73,France,89,90,Left,2023.0,82,92,84,82,87,88,84,76,76,90,88,85,90,90,80,80,90,81,62,82,69,35,91,81,74,87,59,43,44,14,8,14,13,14,28,Centre-Forward,120000000,summer,Laliga,2019
191,92,Germany,89,89,Right,2021.0,64,55,87,82,60,68,65,53,85,81,62,68,63,88,60,71,68,66,85,51,69,92,56,79,68,91,89,92,90,15,6,10,5,6,30,Centre-Back,30500000,summer,1 Bundesliga,2019
181,76,Denmark,88,91,Right,2020.0,88,80,52,91,76,84,86,87,87,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,27,Attacking Midfield,27000000,winter,Serie A,2019
190,94,Belgium,87,89,Left,2022.0,78,88,87,78,79,81,74,66,74,74,77,90,60,87,46,88,71,84,94,74,76,27,89,76,78,83,30,30,30,8,15,14,7,10,26,Centre-Forward,74000000,summer,Serie A,2019
185,80,Costa Rica,87,87,Right,2020.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90,32,Goalkeeper,15000000,summer,Ligue 1,2019
173,75,France,85,89,Left,2020.0,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,81,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15,26,Attacking Midfield,19750000,summer,Laliga,2019
178,78,Croatia,83,89,Right,2019.0,73,62,42,87,76,88,78,68,82,89,84,74,80,68,85,79,63,82,65,75,77,78,69,88,59,72,69,75,63,9,5,6,7,7,25,Central Midfield,45000000,summer,Premier League,2019
174,72,Netherlands,83,84,Right,2021.0,79,86,60,78,69,84,75,76,73,82,89,91,87,82,79,82,82,83,61,83,60,27,79,81,74,78,35,24,27,10,13,6,7,13,27,Left Winger,15700000,summer,Eredivisie,2019
196,89,Netherlands,83,83,Right,2021.0,38,87,94,73,85,68,61,30,37,74,49,54,32,85,32,82,51,82,92,72,70,39,89,68,88,81,38,45,26,6,12,15,11,8,30,Centre-Forward,7000000,summer,1 Bundesliga,2019
182,76,France,82,89,Left,2024.0,78,42,83,80,38,65,53,28,63,79,80,84,70,80,67,62,83,77,76,47,82,81,50,55,34,72,72,83,86,10,7,8,14,10,23,Centre-Back,80000000,summer,1 Bundesliga,2019
185,82,Germany,82,88,Right,2021.0,77,78,42,82,66,87,72,59,69,85,78,83,82,80,78,80,63,73,68,78,42,29,78,83,54,69,38,20,24,11,16,11,8,9,23,Attacking Midfield,25000000,summer,1 Bundesliga,2019
194,100,England,82,84,Right,2022.0,44,40,87,77,40,70,37,46,72,74,39,53,52,76,58,66,74,67,89,40,83,77,59,60,42,76,80,83,80,14,16,9,14,9,26,Centre-Back,87000000,summer,Premier League,2019
178,72,England,82,83,Right,2022.0,91,45,73,78,50,75,86,80,78,79,76,75,74,81,74,73,73,88,65,66,70,80,75,80,66,73,77,82,79,11,14,8,11,10,28,Right-Back,22000000,summer,Laliga,2019
186,84,Italy,82,83,Left,2019.0,52,82,81,71,84,77,71,56,45,80,79,79,76,78,69,87,90,76,88,72,90,40,83,66,80,72,54,42,50,7,13,9,7,9,28,Centre-Forward,12000000,summer,Serie A,2019
186,75,France,82,82,Right,2020.0,52,32,80,76,35,62,22,49,69,66,64,66,65,78,61,54,79,65,76,47,86,84,41,56,51,75,80,84,83,13,11,9,11,7,33,Centre-Back,5000000,summer,Ligue 1,2019
174,66,Senegal,82,82,Right,2022.0,60,50,69,80,32,75,33,61,72,79,75,70,76,79,80,80,87,87,72,66,84,86,67,70,54,80,83,89,83,8,6,8,12,13,29,Central Midfield,30000000,summer,Ligue 1,2019
182,78,Colombia,81,85,Right,2019.0,56,37,77,69,54,58,38,26,62,64,75,76,77,73,72,68,89,72,80,13,88,81,45,54,46,73,78,82,85,14,13,8,11,14,27,Centre-Back,13300000,winter,Serie A,2019
186,78,France,81,84,Left,2021.0,13,11,10,17,10,11,20,19,21,23,44,40,36,78,25,18,62,34,55,10,23,24,10,41,20,63,17,11,12,81,76,79,81,82,28,Goalkeeper,13500000,summer,Ligue 1,2019
185,83,Netherlands,81,83,Right,2021.0,17,10,12,47,19,12,10,10,33,32,54,50,48,77,50,35,71,40,67,15,25,25,11,60,21,61,18,12,11,79,83,74,81,77,30,Goalkeeper,35000000,summer,Laliga,2019
174,69,Belgium,81,83,Right,2019.0,77,68,38,81,80,85,83,79,72,83,86,77,91,80,83,78,63,77,62,77,57,41,80,80,83,76,30,47,35,6,9,7,7,8,26,Left Winger,25500000,summer,1 Bundesliga,2019
171,65,Chile,81,81,Right,2020.0,50,31,68,79,58,63,35,45,78,71,72,70,78,80,92,65,89,81,83,59,89,84,58,72,58,78,80,84,79,14,7,9,6,6,32,Centre-Back,1500000,summer,Serie A,2019
170,68,France,81,81,Right,2021.0,73,83,74,75,76,84,80,76,66,83,87,83,91,80,87,76,86,69,57,69,55,44,87,76,70,84,34,33,26,6,13,9,7,7,29,Centre-Forward,40000000,summer,Ligue 1,2019
