height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,fee,window,league,season
170,69,Argentina,74,74,Right,2020,66,72,53,67,64,76,62,45,60,73,86,89,88,67,81,75,67,74,63,68,65,47,74,71,55,73,76,32,34,15,13,6,13,9,29,Right Winger,1500000,summer,Super League 1,2021
191,85,United States,67,77,Left,2020,36,29,65,61,32,41,46,29,62,49,77,77,57,63,52,54,76,74,80,49,68,63,34,29,52,56,42,68,65,13,14,11,10,12,23,Centre-Back,1800000,winter,Premier League,2021
170,61,United States,64,77,Right,2020,48,63,58,69,53,66,64,58,64,68,64,61,83,66,92,61,71,59,54,61,56,44,66,65,60,68,31,59,35,15,15,6,12,13,19,Central Midfield,6000000,summer,Serie A,2021
170,68,United States,62,78,Left,2020,53,39,41,57,25,64,52,27,39,62,78,80,85,57,74,45,59,63,41,35,54,53,55,45,39,58,53,60,57,12,9,6,11,8,20,Left-Back,1800000,winter,1 Bundesliga,2021
178,68,United States,62,76,Left,2020,50,32,46,59,32,57,46,35,53,59,73,68,74,60,72,30,62,71,59,28,49,54,42,41,34,56,21,62,61,9,11,11,8,8,22,Left-Back,1820000,summer,Jupiler Pro League,2021
180,70,Norway,60,75,Right,2020,32,62,59,46,42,58,37,30,29,60,62,67,67,59,69,62,62,72,62,61,34,31,62,51,60,57,61,12,17,9,10,13,12,5,21,Centre-Forward,7500000,winter,Premier Liga,2021
191,77,United States,51,71,Right,2020,49,47,58,53,39,46,32,24,41,49,59,64,53,42,51,49,61,49,62,42,47,43,43,49,54,49,55,48,42,14,13,9,7,13,20,Right-Back,6850000,summer,Serie A,2021
171,67,Italy,81,81,Left,2021,80,76,40,79,75,83,79,77,76,84,84,82,89,81,87,78,51,77,41,82,63,38,76,77,70,79,68,29,29,11,12,6,8,11,27,Right Winger,21000000,summer,Serie A,2021
193,91,France,79,79,Left,2021,64,82,90,75,81,69,70,65,58,81,40,39,54,81,53,84,82,54,88,66,76,42,82,77,83,79,82,37,20,12,15,11,6,5,34,Centre-Forward,2850000,summer,Serie A,2021
175,70,Argentina,78,85,Right,2021,69,41,71,75,39,69,57,39,65,75,87,85,77,75,71,65,79,93,73,59,87,73,75,69,68,75,74,73,73,6,10,11,5,6,24,Right-Back,11000000,summer,Laliga,2021
193,82,France,78,84,Right,2021,13,6,13,54,9,14,13,12,38,10,48,45,60,69,53,53,73,40,70,9,20,17,4,47,16,59,83,14,12,79,76,70,75,82,22,Goalkeeper,7500000,summer,Ligue 1,2021
177,77,Nigeria,78,78,Right,2021,76,67,70,76,64,82,75,61,70,81,77,76,75,76,79,74,66,79,68,69,62,73,72,72,75,75,77,74,71,9,7,8,16,16,30,Right Midfield,5000000,summer,Premier Liga,2021
180,70,Italy,78,78,Right,2021,79,73,55,79,75,80,74,71,74,82,70,74,72,75,76,87,36,80,60,81,66,67,79,75,83,73,66,63,53,10,4,14,4,14,34,Right Midfield,2500000,summer,Serie A,2021
185,70,Italy,78,78,Right,2021,81,59,69,74,69,76,74,59,68,74,75,75,71,73,68,75,65,79,66,72,75,76,68,64,59,73,37,78,79,11,9,8,6,11,29,Right Midfield,6000000,summer,Serie A,2021
181,80,Italy,77,91,Right,2021,70,60,69,82,60,76,75,75,81,79,83,78,74,74,75,75,63,74,79,70,76,74,60,78,64,74,57,74,72,13,9,8,7,7,21,Defensive Midfield,14500000,summer,Serie A,2021
184,85,Gabon,77,78,Right,2021,72,57,68,82,68,80,72,68,77,81,69,75,69,73,69,81,46,75,73,78,70,72,71,74,68,68,54,74,71,12,9,15,8,16,27,Defensive Midfield,5500000,summer,Ligue 1,2021
191,80,Italy,77,77,Right,2021,12,20,12,22,20,18,16,11,20,20,58,61,65,70,34,49,74,34,60,16,31,11,14,49,16,50,74,18,16,79,75,65,77,79,30,Goalkeeper,2200000,summer,Serie A,2021
185,78,England,76,85,Right,2021,56,33,74,75,32,65,38,40,60,65,76,83,73,73,61,42,74,67,78,45,75,76,33,36,27,76,74,79,74,10,13,10,11,7,23,Centre-Back,31600000,summer,Serie A,2021
192,85,Germany,76,83,Left,2021,12,11,11,32,10,18,13,12,28,24,43,43,42,74,41,53,58,34,67,12,25,19,11,42,19,38,27,11,12,75,73,71,73,80,23,Goalkeeper,5000000,summer,1 Bundesliga,2021
183,79,Germany,76,80,Right,2021,74,50,63,74,53,76,73,49,66,75,74,75,75,73,69,62,66,74,68,46,68,74,62,69,59,75,31,74,74,8,9,13,12,14,24,Right-Back,15000000,summer,1 Bundesliga,2021
187,91,France,76,77,Right,2021,57,31,78,73,35,47,31,36,56,61,55,60,53,66,65,48,84,61,90,42,81,74,34,32,40,75,21,77,76,6,10,8,16,14,29,Centre-Back,2100000,summer,Serie A,2021
180,78,France,75,79,Right,2021,66,43,67,70,46,65,69,39,60,68,75,79,69,73,74,72,74,77,74,35,73,71,65,55,42,70,74,74,75,7,8,14,14,11,23,Right-Back,3900000,summer,Serie A,2021
167,58,France,75,78,Right,2021,75,66,62,80,65,78,75,73,75,75,73,68,83,75,93,63,67,72,38,71,75,68,69,76,68,73,78,66,59,7,14,13,11,6,23,Defensive Midfield,2500000,summer,Serie A,2021
190,86,Czech Republic,75,78,Left,2021,70,68,60,80,64,78,62,66,76,80,61,61,62,72,63,81,55,71,76,78,58,62,74,76,66,76,45,64,60,14,15,10,12,11,26,Attacking Midfield,6000000,summer,Serie A,2021
193,91,Denmark,75,76,Left,2021,42,77,80,71,68,66,45,56,51,74,61,61,49,71,62,79,74,64,93,68,74,28,77,59,65,72,78,26,12,15,9,8,11,9,28,Centre-Forward,5120000,summer,Super Lig,2021
