height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,fee,window,league,season
165,63,England,78,78,Right,2018.0,78,69,28,76,68,84,63,55,54,81,89,89,93,74,92,64,71,75,59,57,57,42,71,73,62,80,40,37,37,14,7,7,16,11,30,Right Winger,1700000,winter,Premier League,2017
174,68,Australia,76,79,Right,2017.0,74,69,46,79,65,73,73,78,79,73,69,71,71,66,67,70,72,83,64,72,75,63,73,81,73,73,56,65,62,11,8,12,11,12,26,Central Midfield,9100000,summer,Premier League,2017
177,81,Montenegro,70,74,Right,2020.0,65,65,57,64,64,73,58,48,63,72,74,82,63,64,67,71,70,75,74,71,67,57,69,66,58,59,46,52,49,8,9,7,10,10,24,Left-Back,5500000,summer,Serie A,2017
184,65,France,65,77,Right,2019.0,50,69,70,60,53,69,53,39,48,60,72,72,55,59,64,66,68,57,43,60,28,14,60,54,69,59,15,17,16,11,8,11,5,9,21,Right Winger,10000000,summer,Ligue 1,2017
190,88,France,82,82,Right,2019.0,28,45,79,66,45,53,43,55,68,64,54,63,57,75,50,83,76,63,90,58,83,84,24,22,48,75,81,84,78,5,3,5,5,3,31,Centre-Back,6000000,summer,Ligue 1,2017
183,80,Switzerland,76,79,Right,2019.0,68,73,60,74,71,83,73,62,63,77,75,78,79,76,78,81,62,75,71,74,68,42,76,74,69,71,29,40,36,13,14,8,15,16,26,Second Striker,8000000,winter,1 Bundesliga,2017
182,75,Belgium,76,85,Left,2017.0,72,66,23,75,67,84,70,65,73,81,85,77,84,69,65,58,61,59,56,67,31,21,68,76,60,64,20,22,22,15,10,11,12,7,22,Right Winger,8500000,summer,Laliga,2017
175,69,Portugal,82,83,Right,2020.0,78,70,61,83,77,81,75,78,84,85,60,60,71,74,56,83,56,83,56,82,78,80,74,84,85,79,78,76,72,15,6,8,10,7,28,Central Midfield,20500000,summer,Premier League,2017
195,83,Egypt,66,70,Right,,18,17,68,55,23,38,36,29,42,49,42,49,48,51,51,27,55,55,79,15,60,62,20,25,30,35,64,70,68,14,14,5,10,8,26,Centre-Back,5000000,winter,Premier League,2017
181,66,Brazil,62,72,Left,2017.0,60,36,54,55,34,51,35,42,31,55,62,64,55,57,69,33,59,68,60,27,56,58,50,41,43,41,61,68,65,9,9,8,15,8,22,Left-Back,2500000,summer,1 Bundesliga,2017
183,77,Switzerland,65,72,Right,2017.0,57,64,64,45,65,65,46,33,41,64,69,76,65,61,62,63,80,60,74,56,29,16,66,59,56,66,19,19,17,13,9,6,12,16,20,Centre-Forward,1390000,summer,Super League,2017
187,83,Serbia,79,79,Left,2018.0,90,55,75,70,64,78,85,81,77,74,69,66,64,79,58,91,78,77,78,80,84,80,69,76,74,85,75,83,82,16,15,8,16,6,31,Left-Back,5000000,summer,Serie A,2017
175,70,Spain,71,83,Left,2020.0,71,59,49,64,54,75,52,44,58,70,82,82,75,73,80,71,64,60,58,53,70,37,71,66,66,66,23,15,24,14,16,8,6,13,22,Left Winger,7000000,summer,Serie A,2017
171,62,England,73,81,Right,2020.0,63,67,44,73,51,76,73,78,65,73,77,70,73,64,85,70,58,75,39,69,67,37,70,74,66,55,46,40,43,13,13,14,10,8,24,Attacking Midfield,12350000,winter,Premier League,2017
187,84,Denmark,75,79,Right,2019.0,48,47,70,69,57,64,32,35,65,67,67,68,60,72,59,58,74,80,77,52,77,76,57,62,33,77,75,76,77,14,6,10,11,7,25,Centre-Back,1500000,winter,Jupiler Pro League,2017
194,90,Norway,67,76,Left,2020.0,51,70,70,60,63,60,61,51,51,63,69,69,47,55,61,70,62,64,83,62,50,19,60,55,63,65,20,21,21,15,12,8,15,8,22,Centre-Forward,16000000,winter,Premier League,2017
175,73,France,85,89,Right,2019.0,70,86,76,80,82,85,74,73,68,83,84,87,87,84,84,81,78,80,77,74,70,40,86,77,82,86,23,29,30,11,6,9,5,6,26,Centre-Forward,53000000,summer,Premier League,2017
177,73,Romania,76,78,Right,2019.0,77,66,40,78,73,78,81,74,74,78,75,72,87,75,79,70,52,64,49,67,48,43,70,78,72,74,19,22,23,14,8,9,9,10,26,Attacking Midfield,3000000,summer,1 Bundesliga,2017
169,62,Chile,87,87,Right,2018.0,80,83,65,80,78,89,78,78,73,86,88,84,90,84,87,82,85,85,66,80,80,42,85,82,77,82,30,39,35,10,10,15,12,13,29,Centre-Forward,34000000,winter,Premier League,2017
177,79,Colombia,65,77,Right,2023.0,41,69,63,57,33,58,31,26,43,61,72,79,48,56,71,62,67,65,78,60,50,16,64,43,63,48,18,15,13,13,13,9,12,8,21,Centre-Forward,1200000,summer,Scottish Premiership,2017
176,71,Spain,64,72,Right,2017.0,62,56,33,53,43,71,60,53,48,64,83,81,64,58,73,73,44,52,46,54,57,42,67,52,51,54,25,45,32,7,12,10,7,5,22,Left Winger,1000000,summer,Laliga,2017
178,74,Greece,67,79,Right,2017.0,42,66,58,62,63,74,47,41,38,71,77,74,78,69,77,61,69,75,59,62,56,20,63,50,69,56,23,18,24,8,14,12,15,11,20,Right Winger,4000000,summer,1 Bundesliga,2017
176,72,Ghana,80,80,Left,2019.0,80,75,80,78,65,80,74,57,71,82,78,78,86,75,81,75,92,88,73,75,78,63,75,75,71,75,54,62,75,10,6,12,7,15,28,Left Winger,22800000,winter,Premier League,2017
185,80,Germany,79,81,Right,2018.0,80,80,65,73,76,73,67,52,68,74,78,91,65,78,60,84,82,90,81,77,79,50,79,70,49,76,46,56,48,14,14,13,15,11,26,Right Winger,6000000,summer,1 Bundesliga,2017
185,79,Portugal,74,86,Right,2021.0,59,69,76,67,67,71,71,33,58,73,74,77,75,76,66,76,84,85,77,62,78,56,79,63,73,70,38,47,39,14,13,7,11,8,21,Centre-Forward,38000000,summer,Serie A,2017
184,76,Italy,71,79,Right,2021.0,70,30,63,68,43,61,60,32,65,68,69,69,66,68,62,59,53,75,55,43,70,71,48,50,40,65,66,73,69,9,13,13,9,10,23,Right-Back,24000000,summer,Serie A,2017
182,73,Italy,76,76,Left,2018.0,52,27,72,58,22,58,59,27,58,62,68,68,67,70,60,62,84,68,74,37,72,82,35,34,37,69,80,80,76,8,9,7,11,13,31,Centre-Back,1500000,summer,Serie A,2017
180,76,Germany,76,76,Right,2018.0,74,29,71,75,32,74,77,65,71,74,75,73,73,76,71,70,66,78,67,62,74,74,47,59,42,77,79,76,75,11,13,12,16,16,30,Right-Back,2500000,summer,1 Bundesliga,2017
193,89,Denmark,72,76,Left,2018.0,42,70,76,63,65,66,45,56,43,70,69,74,53,63,34,75,63,73,90,68,71,28,68,48,69,71,13,26,12,15,9,8,11,9,24,Centre-Forward,6000000,summer,Serie A,2017
184,86,Spain,76,76,Right,2017.0,17,13,12,35,23,14,24,12,40,18,58,55,57,75,65,22,82,43,74,22,40,26,14,41,21,53,11,14,15,80,71,68,72,79,30,Goalkeeper,2000000,summer,Laliga,2017
169,67,Mexico,82,82,Left,2018.0,74,60,55,85,69,81,70,71,82,85,84,80,84,84,88,74,74,86,57,67,63,71,68,82,70,66,57,74,72,7,10,10,11,10,30,Central Midfield,2500000,summer,Laliga,2017
178,63,Scotland,75,83,Left,2017.0,78,59,67,68,32,69,68,30,59,74,79,85,83,71,72,67,55,81,68,61,69,71,64,69,55,67,71,73,69,11,8,10,7,14,23,Left-Back,9000000,summer,Premier League,2017
183,71,France,66,77,Right,2018.0,64,45,65,68,46,69,60,64,62,67,72,75,74,64,64,53,59,74,68,50,63,66,56,65,50,64,62,66,67,12,6,11,15,14,20,Attacking Midfield,1400000,summer,Ligue 1,2017
190,85,Germany,77,82,Right,2020.0,60,27,76,70,34,59,34,56,65,65,76,78,63,72,50,70,72,65,81,40,86,69,33,57,40,60,77,79,74,14,15,10,12,8,24,Centre-Back,35000000,summer,Premier League,2017
175,68,Senegal,67,83,Right,2020.0,40,33,58,76,36,73,63,45,74,75,77,69,79,58,75,59,61,79,55,51,66,58,38,64,56,58,53,65,65,9,11,12,11,8,19,Defensive Midfield,5000000,summer,Ligue 1,2017
184,77,France,78,78,Right,2017.0,61,80,81,71,79,69,61,62,46,76,62,68,59,76,58,84,73,70,85,75,52,38,79,69,83,77,39,32,35,14,11,9,9,13,31,Centre-Forward,2500000,summer,Super Lig,2017
189,77,Belgium,69,76,Right,2017.0,58,68,72,68,58,68,36,29,51,71,67,42,68,62,56,72,65,56,77,58,49,19,73,50,59,48,20,18,22,13,10,8,12,7,22,Centre-Forward,2000000,summer,Ligue 1,2017
185,87,Germany,76,77,Left,2018.0,81,48,68,72,46,72,58,70,73,73,66,75,64,74,60,60,75,79,76,55,76,74,61,59,63,72,72,78,79,12,14,7,6,10,28,Left-Back,4500000,summer,1 Bundesliga,2017
182,79,Netherlands,73,75,Right,2020.0,45,62,68,73,58,71,63,52,67,75,65,62,64,72,70,73,76,84,74,74,67,65,65,73,56,77,67,70,67,16,11,13,12,16,28,Central Midfield,1000000,summer,Eredivisie,2017
177,66,France,67,77,Right,2019.0,60,59,50,72,50,65,57,69,68,72,71,64,61,60,65,60,71,62,58,58,60,63,67,65,51,57,52,54,51,14,7,15,11,15,23,Central Midfield,3500000,summer,Ligue 1,2017
183,76,France,74,78,Right,2020.0,51,77,67,65,71,65,50,49,59,73,74,72,74,76,65,74,69,56,67,71,54,32,78,62,72,55,25,19,19,9,10,6,14,7,25,Centre-Forward,2000000,summer,Ligue 1,2017
186,78,France,79,84,Left,2018.0,13,11,10,17,10,11,20,19,21,23,44,40,36,73,25,18,60,34,55,10,23,24,10,41,20,38,11,11,12,81,74,81,77,83,26,Goalkeeper,2500000,summer,Ligue 1,2017
185,85,France,75,79,Left,2021.0,76,33,64,74,20,73,32,29,68,73,78,76,66,68,69,65,68,74,79,63,75,76,68,31,40,58,70,74,75,7,7,9,15,9,23,Left-Back,57500000,summer,Premier League,2017
179,75,Slovenia,71,80,Right,2019.0,62,68,59,63,68,73,60,63,64,73,85,81,75,51,71,70,68,73,69,71,71,32,72,70,63,65,32,34,33,15,11,13,6,12,24,Left Winger,4000000,winter,Premier Liga Ukr,2017
192,85,Colombia,78,80,Right,2020.0,51,39,78,75,44,40,51,42,63,63,63,69,55,64,41,56,76,63,87,42,82,73,33,49,52,73,80,79,74,11,15,12,9,12,27,Centre-Back,4500000,summer,Laliga,2017
