height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,fee,window,league,season
185,74,England,73,76,Left,2022,61,36,72,71,43,60,44,40,68,66,68,69,65,70,62,42,80,65,79,39,65,72,37,37,48,71,78,74,72,6,15,10,15,6,25,Centre-Back,1850000,winter,Premier League,2020
184,83,Nigeria,75,76,Right,2022,44,77,72,66,69,70,45,47,55,72,73,77,70,78,64,77,78,74,82,68,56,17,76,58,66,75,42,16,14,14,11,11,12,10,25,Centre-Forward,4000000,summer,Jupiler Pro League,2020
180,72,Senegal,63,79,Right,2022,54,66,42,54,43,66,59,39,53,65,85,85,77,51,73,74,47,68,55,54,46,18,65,64,51,59,20,28,26,11,12,14,15,12,19,Centre-Forward,4000000,summer,Super League,2020
186,74,Italy,63,71,Right,2022,48,51,65,73,36,57,42,45,72,62,55,61,54,65,57,57,56,53,56,40,68,60,55,60,57,45,54,67,63,8,9,14,8,13,22,Central Midfield,7000000,summer,Serie A,2020
180,76,DR Congo,67,74,Left,2022,60,64,38,72,58,68,53,45,68,69,79,86,75,62,59,67,36,68,60,64,51,62,61,64,52,60,49,67,67,12,12,12,13,6,22,Right Winger,1000000,summer,Ligue 1,2020
179,77,Angola,75,75,Left,2022,68,65,44,71,64,77,74,69,66,76,86,85,81,71,76,73,37,68,57,63,49,23,72,72,69,70,35,31,25,7,6,11,14,12,26,Right Winger,17700000,summer,Premier League,2020
188,77,Brazil,73,73,Right,2022,53,63,66,75,59,73,63,78,76,76,66,64,64,73,53,78,61,67,68,77,79,77,69,67,72,69,73,76,70,9,13,13,11,7,26,Central Midfield,6470000,summer,Serie A,2020
168,60,Brazil,69,84,Right,2022,71,55,51,66,45,71,66,43,62,71,81,82,80,63,75,64,70,77,44,53,72,62,61,55,55,54,59,64,66,9,6,13,8,11,18,Right-Back,6000000,summer,Premier League,2020
178,68,Croatia,69,83,Right,2027,79,58,61,75,64,68,68,75,75,75,69,68,74,60,76,78,66,75,67,70,68,58,54,71,68,78,59,62,57,13,9,14,10,9,19,Defensive Midfield,2200000,winter,Supersport Hnl,2020
179,74,Poland,79,83,Right,2027,80,66,49,73,48,74,66,48,70,73,79,81,85,78,69,67,77,87,58,64,82,76,65,67,44,72,75,76,78,15,16,13,13,8,23,Right-Back,15750000,summer,Premier League,2020
183,79,Croatia,69,75,Right,2026,65,62,49,67,57,76,66,62,60,73,82,84,76,60,67,72,69,70,64,71,39,59,55,58,65,62,47,42,39,13,8,6,14,7,21,Left Winger,1200000,winter,Supersport Hnl,2020
186,78,Croatia,65,73,Left,2026,70,41,59,56,51,64,57,51,58,72,70,73,58,57,60,66,64,75,68,53,63,57,51,47,58,56,57,60,61,13,12,11,11,7,21,Left-Back,1000000,winter,Supersport Hnl,2020
190,76,Uzbekistan,73,76,Right,2026,55,72,74,67,73,74,68,52,58,75,84,84,71,57,70,72,61,69,76,66,55,34,74,65,65,62,32,33,30,8,11,5,7,5,25,Centre-Forward,9500000,summer,Serie A,2020
185,73,Italy,69,77,Right,2026,53,69,58,58,57,70,56,40,48,66,91,91,79,72,68,69,91,73,70,58,50,20,71,66,68,64,19,21,17,7,11,12,6,6,20,Centre-Forward,1200000,winter,Bundesliga,2020
173,66,lorient,70,74,Right,2026,68,44,56,63,53,72,64,52,64,71,78,79,81,61,82,69,65,76,59,60,63,64,67,58,44,56,68,66,62,11,12,14,6,8,23,Right-Back,1100000,summer,Supersport Hnl,2020
188,77,Brazil,79,84,Right,2026,35,30,81,73,28,59,31,32,72,69,80,82,57,78,56,59,81,74,82,45,85,81,25,56,44,73,81,78,77,6,15,15,12,10,25,Centre-Back,6500000,winter,Liga Portugal,2020
187,80,Uruguay,72,82,Right,2025,39,75,73,61,67,69,64,61,36,70,82,79,76,67,52,75,70,74,79,68,61,25,70,48,74,60,72,22,30,14,10,12,10,13,21,Centre-Forward,34000000,summer,Liga Portugal,2020
181,78,Croatia,70,77,Right,2025,51,44,66,70,56,62,41,39,72,71,68,65,59,63,65,78,64,83,79,66,77,64,56,67,49,63,65,67,69,10,10,5,9,10,23,Defensive Midfield,1200000,summer,Supersport Hnl,2020
187,78,Croatia,69,76,Right,2025,14,6,11,29,8,10,14,10,28,16,37,41,37,72,31,44,50,28,44,7,21,6,7,37,14,48,74,10,14,67,65,58,67,71,20,Goalkeeper,1900000,summer,Serie A,2020
179,69,France,66,82,Right,2025,56,31,68,68,31,54,54,44,54,60,72,70,55,60,72,45,74,60,61,32,59,63,47,49,49,63,67,69,66,12,5,13,9,11,20,Centre-Back,1290000,summer,Serie A,2020
190,84,Uzbekistan,64,77,Right,2025,56,52,58,66,50,72,51,51,61,67,62,66,59,60,56,66,57,66,73,49,61,37,63,64,58,58,62,40,41,12,8,11,10,10,19,Attacking Midfield,1000000,summer,Premier Liga,2020
190,80,Turkey,62,75,Left,2025,29,21,61,60,28,51,29,33,58,59,53,55,46,57,48,42,62,50,76,21,66,60,44,53,45,58,58,62,58,11,8,10,9,5,19,Centre-Back,1850000,summer,Ligue 1,2020
