height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
188,80,France,86,92,Right,4,4,4,2019,23,Central Midfield,CM,105000000,summer,Premier League,2016,76,70,72,85,84,88,82,80,81,89,75,79,75,86,61,91,85,87,91,91,80,71,83,86,76,,71,77,83,5,6,2,4,3
191,92,Germany,86,88,Right,4,3,2,2017,27,Centre-Back,CB,35000000,summer,Ger Bundesliga,2016,64,55,90,78,60,68,65,53,84,77,62,66,60,85,58,71,70,67,86,51,71,91,56,79,68,,86,87,86,15,6,10,5,6
176,72,Germany,84,88,Right,3,4,4,2017,24,Attacking Midfield,AM,22000000,summer,Ger Bundesliga,2016,76,78,54,85,83,88,80,74,75,90,76,68,87,85,84,68,70,68,64,62,48,53,84,84,65,,16,29,26,14,7,12,6,10
196,91,England,84,84,Right,3,3,1,2019,29,Goalkeeper,GK,1500000,summer,Serie A,2016,14,14,10,32,19,23,17,13,35,20,59,60,25,81,32,65,72,28,61,19,28,25,14,42,68,,14,14,13,85,79,76,84,87
185,82,France,83,83,Right,3,3,1,2016,31,Goalkeeper,GK,1000000,summer,Premier League,2016,14,13,13,31,13,11,13,12,28,12,53,43,52,81,36,24,74,31,61,11,37,23,11,14,11,,10,12,13,85,78,79,81,84
181,72,Italy,83,83,Right,2,4,3,2019,29,Right Midfield,RM,22000000,summer,Serie A,2016,90,75,55,81,79,86,83,79,75,87,87,85,79,82,76,90,57,93,69,87,66,49,77,82,88,,41,44,44,10,4,14,4,14
184,82,Germany,82,87,Right,3,3,2,2019,24,Centre-Back,CB,41000000,summer,Premier League,2016,51,58,80,75,51,44,55,47,69,67,70,69,68,79,70,66,82,75,81,52,77,85,50,52,54,,81,82,85,11,9,15,10,6
180,80,Germany,82,86,Right,3,4,4,2017,25,Central Midfield,CM,27000000,summer,Premier League,2016,74,65,53,88,75,85,81,73,81,85,77,74,82,84,83,77,62,74,74,73,68,78,76,85,76,,57,63,64,11,14,5,5,13
186,85,Poland,82,86,Right,2,3,2,2018,26,Defensive Midfield,DM,27500000,summer,Ligue 1,2016,59,42,83,81,40,63,46,62,85,77,67,74,59,80,52,81,75,80,92,70,89,85,52,73,78,,75,87,72,15,14,8,6,7
181,75,France,82,85,Right,2,3,2,2019,27,Defensive Midfield,DM,23000000,winter,Premier League,2016,67,64,65,83,56,73,68,61,83,79,69,59,66,82,66,71,72,90,78,56,85,86,67,75,56,,77,84,82,6,11,12,14,7
187,83,Netherlands,82,85,Right,3,3,1,2018,27,Goalkeeper,GK,13000000,summer,Laliga,2016,17,10,12,47,19,12,10,10,33,32,54,50,48,79,50,35,71,40,67,15,25,25,11,60,21,,18,12,11,80,84,74,82,79
190,80,Poland,82,84,Right,2,2,2,2017,28,Centre-Back,CB,11000000,summer,Ligue 1,2016,29,11,88,59,17,51,35,26,59,59,59,65,33,76,55,57,79,69,88,20,86,86,24,23,39,,85,85,84,10,14,5,8,10
176,78,Netherlands,81,89,Right,3,2,4,2019,22,Centre-Forward,CF,16000000,winter,Ligue 1,2016,66,74,60,74,74,86,85,90,68,83,91,90,82,83,86,88,80,82,77,82,62,21,80,75,66,,24,31,20,8,14,6,12,10
185,82,Switzerland,81,85,Left,2,4,3,2019,23,Defensive Midfield,DM,45000000,summer,Premier League,2016,68,49,59,84,50,68,68,70,88,79,48,54,58,84,62,88,33,79,75,84,89,74,78,86,59,,70,73,66,7,8,11,7,13
