height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
199,94,Belgium,89,92,Left,4,3,1,2019,26,Goalkeeper,GK,35000000,summer,Laliga,2018,14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,85,91,69,86,88
190,85,Italy,88,88,Right,3,3,2,2022,31,Centre-Back,CB,35000000,summer,Serie A,2018,44,39,88,79,58,69,56,61,85,75,62,72,60,86,52,74,85,73,85,65,82,90,38,74,70,84,84,88,88,2,2,3,2,4
186,85,Greece,86,86,Right,3,3,2,2019,30,Centre-Back,CB,16000000,summer,Premier League,2018,47,44,87,64,46,58,36,35,64,58,71,84,62,81,68,79,87,74,86,48,91,80,50,52,33,82,88,90,86,6,8,5,12,5
176,77,Belgium,86,86,Right,3,3,3,2021,30,Central Midfield,CM,38000000,summer,Serie A,2018,73,76,59,84,75,80,73,68,81,85,80,76,81,87,84,84,76,94,76,86,88,86,88,76,63,85,78,86,88,11,11,14,8,11
190,83,Germany,85,88,Right,3,4,1,2018,26,Goalkeeper,GK,25000000,summer,Premier League,2018,9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,84,74,85,83
186,78,Netherlands,84,85,Left,3,3,3,2022,28,Central Midfield,CM,25000000,summer,Ligue 1,2018,74,68,68,86,63,76,75,74,83,85,65,68,65,84,68,85,53,82,83,78,86,84,78,84,77,85,72,83,75,7,12,11,6,7
170,58,France,83,91,Left,3,2,3,2020,22,Attacking Midfield,AM,72000000,summer,Laliga,2018,82,78,54,82,75,88,81,81,71,86,86,84,85,76,84,82,72,79,69,76,63,66,76,82,68,79,63,59,63,11,15,13,7,14
188,77,Italy,83,88,Right,2,3,1,2019,25,Goalkeeper,GK,14200000,summer,Serie A,2018,11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,21,58,14,12,19,80,85,71,78,90
189,78,Netherlands,83,88,Right,3,4,2,2018,26,Centre-Back,CB,8000000,summer,Serie A,2018,49,25,78,71,27,61,45,16,71,71,68,68,61,78,60,65,71,69,80,60,74,85,32,50,41,82,87,86,82,8,10,7,14,13
179,67,Algeria,83,84,Left,3,4,5,2020,27,Right Winger,RW,67800000,summer,Premier League,2018,81,74,45,78,71,88,79,75,74,88,85,80,92,75,85,76,62,75,51,72,40,38,79,79,72,82,25,23,19,15,9,13,11,6
