height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
168,70,Belgium,69,83,Right,1,3,4,2024,20,Attacking Midfield,AM,2000000,winter,Jupiler Pro League,2022,63,57,32,73,58,76,65,63,68,76,78,69,83,65,92,66,74,83,53,56,62,44,57,68,36,66,46,48,38,6,14,9,13,8
181,74,Iran,67,70,Right,1,4,2,2022,26,Centre-Forward,CF,1200000,summer,Liga Portugal,2022,42,68,69,56,69,62,51,48,43,63,76,74,73,67,64,71,80,70,60,62,45,17,70,54,63,69,22,17,13,11,14,11,6,14
195,94,France,81,83,Right,2,3,1,30-Jun-22,29,Goalkeeper,GK,10000000,summer,Ligue 1,2022,20,19,14,48,16,15,16,16,37,22,56,54,58,75,58,56,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,75,84,
195,94,France,81,83,Right,2,3,1,30-Jun-22,29,Goalkeeper,GK,9300000,summer,Premier League,2022,20,19,14,48,16,15,16,16,37,22,56,54,58,75,58,56,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,75,84,
190,80,Turkey,73,74,Left,1,2,2,2025,27,Centre-Back,CB,2800000,summer,Super Lig,2022,60,24,73,59,27,49,28,35,47,60,51,49,57,73,60,46,55,74,78,27,75,75,47,30,48,72,75,76,74,13,7,12,7,15
189,82,Morocco,72,78,Right,1,3,4,2022,24,Central Midfield,CM,2000000,summer,Ger Bundesliga,2022,63,68,60,71,57,81,65,60,65,79,71,84,75,69,69,69,55,65,68,61,60,53,66,71,53,62,47,59,61,7,12,13,8,13
181,84,Italy,80,80,Right,3,5,3,2022,28,Centre-Forward,CF,8000000,summer,Serie A,2022,42,85,84,68,79,75,64,56,48,75,74,78,75,81,77,81,83,78,85,67,83,31,86,61,77,81,44,23,32,13,7,12,14,7
186,79,Greece,74,74,Left,1,3,3,2024,29,Central Midfield,CM,2000000,winter,Super Lig,2022,65,68,67,77,69,71,72,69,77,74,55,59,65,67,64,80,64,80,78,76,71,72,71,72,61,75,71,72,66,9,11,16,11,15
184,79,Denmark,67,73,Right,1,3,2,2023,23,Right-Back,RB,1500000,summer,Ligue 1,2022,72,51,54,61,47,62,70,42,59,65,88,84,66,57,66,58,69,75,73,48,60,55,63,61,49,57,56,64,60,13,14,10,15,10
191,77,Poland,75,77,Left,1,4,3,,25,Centre-Forward,CF,6000000,summer,Ligue 1,2022,47,76,78,67,68,73,54,46,44,71,70,69,64,76,51,76,85,75,80,69,68,24,78,63,67,74,31,23,21,7,13,10,6,14
186,74,France,75,81,Right,1,5,3,2022,25,Left-Back,LB,7000000,summer,Ger Bundesliga,2022,72,53,73,71,47,66,60,48,69,69,72,72,70,73,62,59,74,74,74,42,68,74,62,61,52,68,74,76,74,11,9,12,7,8
167,63,Guinea,69,80,Right,1,3,3,2025,21,Attacking Midfield,AM,2500000,winter,Super League 1,2022,60,65,33,69,53,75,68,35,62,73,83,82,83,63,86,65,42,77,45,60,54,35,59,65,45,60,38,56,50,11,13,12,12,8
181,72,Italy,69,80,Left,1,4,2,2023,22,Left-Back,LB,2000000,summer,Serie A,2022,69,49,51,66,55,69,58,60,59,68,72,72,71,60,69,60,58,65,49,52,61,64,60,60,46,61,65,69,67,13,7,7,13,13
181,72,Italy,69,80,Left,1,4,2,2023,22,Left-Back,LB,8750000,summer,Serie A,2022,69,49,51,66,55,69,58,60,59,68,72,72,71,60,69,60,58,65,49,52,61,64,60,60,46,61,65,69,67,13,7,7,13,13
180,70,Italy,79,79,Right,3,4,4,2024,35,Right Midfield,RM,1000000,summer,Serie A,2022,79,73,55,81,79,80,77,73,80,82,75,69,79,75,80,87,36,81,54,82,66,67,79,80,69,73,61,63,53,10,4,14,4,14
185,80,Italy,69,78,Left,1,2,2,2025,21,Centre-Back,CB,4000000,summer,Serie A,2022,60,21,60,63,27,59,40,33,50,69,58,55,50,65,55,41,70,55,66,26,67,72,29,45,37,60,72,73,74,8,13,12,12,9
193,85,Sweden,62,70,Right,1,3,3,2022,22,Central Midfield,CM,1000000,winter,Allsvenskan,2022,44,32,58,65,38,70,37,38,62,68,66,69,64,62,60,57,63,83,82,55,57,64,49,56,38,68,68,55,52,12,5,14,13,7
175,62,Greece,72,78,Right,1,4,3,2022,25,Left Winger,LW,1500000,summer,Super Lig,2022,70,67,55,68,59,76,65,65,66,74,82,78,77,65,75,64,59,65,57,65,64,25,67,67,55,65,45,30,33,12,8,8,12,6
175,64,France,72,78,Right,2,3,4,2024,24,Attacking Midfield,AM,4500000,summer,Ligue 1,2022,61,68,60,74,61,74,79,69,69,76,86,85,89,66,81,74,71,66,67,75,65,67,68,75,65,67,69,69,60,11,13,15,14,15
184,75,Italy,65,73,Left,1,2,2,2024,23,Attacking Midfield,AM,9000000,summer,Serie A,2022,54,55,60,70,51,70,59,54,70,70,69,69,65,63,69,68,57,60,57,50,43,48,55,65,60,68,52,59,61,10,9,6,12,11
184,78,Italy,80,81,Right,1,3,1,2024,28,Goalkeeper,GK,3000000,summer,Serie A,2022,15,12,12,31,13,13,11,12,25,21,41,37,37,75,43,55,74,43,55,17,33,19,15,42,31,59,20,11,12,82,79,73,77,83
