height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
183,75,Germany,86,92,Left,2,3,4,2021,24,Right Winger,RW,49000000,summer,Ger Bundesliga,2020,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,76,32,35,8,12,9,9,14
181,65,Morocco,85,86,Left,3,2,4,2022,27,Right Winger,RW,40000000,summer,Premier League,2020,84,73,53,86,74,83,90,78,89,83,83,77,86,84,78,80,37,84,58,77,73,52,82,89,67,77,77,56,40,11,7,11,8,14
188,83,Germany,84,92,Left,1,4,4,2022,21,Attacking Midfield,AM,80000000,summer,Premier League,2020,73,81,74,85,80,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82,69,84,71,46,38,6,8,11,10,12
177,68,Argentina,83,89,Left,1,3,4,2020,24,Attacking Midfield,AM,14000000,summer,Laliga,2020,78,80,57,83,69,85,82,71,83,86,76,78,83,82,79,82,63,79,70,76,72,71,79,85,65,81,24,67,62,10,7,10,15,14
177,68,Argentina,83,89,Left,1,3,4,2020,24,Attacking Midfield,AM,32000000,summer,Premier League,2020,78,80,57,83,69,85,82,71,83,86,76,78,83,82,79,82,63,79,70,76,72,71,79,85,65,81,24,67,62,10,7,10,15,14
182,85,Serbia,83,89,Right,1,5,3,2024,23,Centre-Forward,CF,1000000,winter,Ger Bundesliga,2020,67,86,79,74,84,81,77,46,58,83,76,77,78,83,77,83,75,76,78,76,62,23,84,70,66,79,85,26,16,8,7,12,9,13
186,78,Poland,83,88,Left,3,3,4,2021,26,Centre-Forward,CF,3930000,winter,Ligue 1,2020,58,88,80,66,78,76,74,84,62,81,67,71,67,77,63,86,64,70,80,82,67,36,85,60,79,78,89,34,32,9,16,16,15,6
180,75,Germany,83,87,Right,3,4,3,2020,24,Centre-Forward,CF,53000000,summer,Premier League,2020,69,86,77,77,84,83,63,56,55,84,93,92,81,86,76,79,71,83,65,70,63,37,85,61,72,74,57,20,19,9,9,8,15,9
190,82,France,83,85,Right,1,2,3,2024,26,Centre-Forward,CF,22500000,winter,Eredivisie,2020,40,85,86,76,82,76,57,46,45,80,68,76,68,84,53,81,80,72,89,67,76,36,84,75,91,82,65,61,55,6,7,14,7,6
195,94,France,82,86,Right,2,3,1,2023,27,Goalkeeper,GK,10000000,summer,Ligue 1,2020,20,19,14,48,16,12,16,16,37,22,56,54,58,79,58,60,72,38,80,14,26,23,17,51,25,64,43,18,12,85,79,80,78,84
195,94,France,82,86,Right,2,3,1,2023,27,Goalkeeper,GK,10000000,summer,Premier League,2020,20,19,14,48,16,12,16,16,37,22,56,54,58,79,58,60,72,38,80,14,26,23,17,51,25,64,43,18,12,85,79,80,78,84
190,84,Italy,82,86,Right,2,3,2,2023,26,Centre-Back,CB,1060000,summer,Ligue 1,2020,40,33,84,69,35,64,45,25,65,65,61,66,61,78,55,58,83,67,78,39,72,86,28,50,36,70,43,86,82,5,10,5,5,5
190,84,Italy,82,86,Right,2,3,2,2023,26,Centre-Back,CB,2000000,winter,Serie A,2020,40,33,84,69,35,64,45,25,65,65,61,66,61,78,55,58,83,67,78,39,72,86,28,50,36,70,43,86,82,5,10,5,5,5
176,75,Germany,82,83,Right,4,4,4,2020,28,Attacking Midfield,AM,9000000,summer,Eredivisie,2020,82,78,50,88,86,85,81,72,83,90,75,67,83,86,85,78,58,79,72,73,59,66,84,87,77,87,83,44,57,14,7,12,6,10
179,83,Germany,82,83,Left,2,4,3,2021,28,Centre-Forward,CF,11000000,summer,Ligue 1,2020,78,84,69,81,83,79,79,80,72,79,75,76,73,82,82,87,76,88,82,84,80,45,82,81,72,80,32,50,33,8,7,9,7,12
187,81,Serbia,82,82,Left,2,3,3,2020,34,Left-Back,LB,1500000,summer,Serie A,2020,90,60,80,78,64,80,85,88,77,77,71,68,62,83,58,95,79,83,74,86,86,82,78,77,80,90,72,83,81,16,15,8,16,6
196,89,Netherlands,82,82,Right,3,3,2,2021,31,Centre-Forward,CF,4000000,winter,Jupiler Pro League,2020,38,86,93,73,83,68,61,30,37,75,46,53,34,82,32,82,49,70,92,70,68,39,88,67,90,81,52,45,26,6,12,15,11,8
181,75,Italy,82,82,Right,3,3,4,2020,31,Central Midfield,CM,2500000,summer,Serie A,2020,82,70,70,84,78,83,78,78,80,85,73,73,75,82,77,84,68,82,63,86,68,72,78,82,68,82,63,72,68,10,14,7,15,14
178,72,Italy,82,82,Right,3,3,5,2022,28,Left Winger,LW,5000000,winter,Serie A,2020,75,80,51,74,83,84,85,63,57,86,86,87,86,72,82,74,59,73,56,79,54,36,82,73,67,72,68,30,25,5,3,5,5,3
191,90,Belgium,82,82,Right,2,4,3,2020,28,Right-Back,RB,3000000,summer,Ger Bundesliga,2020,83,72,75,82,79,75,74,56,74,82,74,83,63,80,49,77,72,92,85,78,73,76,80,71,65,78,52,83,79,8,13,15,6,9
175,62,England,82,82,Right,2,3,4,2021,28,Attacking Midfield,AM,6000000,summer,Premier League,2020,74,77,67,80,75,82,79,68,63,84,82,79,86,83,84,81,70,89,62,78,74,54,84,81,74,82,54,57,49,14,10,8,13,9
175,62,England,82,82,Right,2,3,4,2021,28,Attacking Midfield,AM,2300000,winter,Premier League,2020,74,77,67,80,75,82,79,68,63,84,82,79,86,83,84,81,70,89,62,78,74,54,84,81,74,82,54,57,49,14,10,8,13,9
184,74,Netherlands,81,87,Right,2,3,3,2022,23,Central Midfield,CM,39000000,summer,Premier League,2020,67,77,66,83,78,78,77,62,75,84,67,74,72,82,68,82,70,89,77,78,74,74,85,81,55,85,75,72,67,7,12,8,10,14
184,82,Germany,81,86,Right,2,4,3,2022,26,Defensive Midfield,DM,25000000,summer,Ger Bundesliga,2020,70,60,72,83,65,80,64,64,81,83,68,71,72,78,69,81,76,87,83,75,86,82,76,78,60,80,84,82,80,14,8,8,13,11
184,82,Germany,81,86,Right,2,4,3,2022,26,Defensive Midfield,DM,14000000,summer,Serie A,2020,70,60,72,83,65,80,64,64,81,83,68,71,72,78,69,81,76,87,83,75,86,82,76,78,60,80,84,82,80,14,8,8,13,11
189,84,Argentina,81,85,Right,3,3,1,2020,28,Goalkeeper,GK,10000000,summer,Laliga,2020,12,15,12,32,16,14,19,20,23,15,54,48,58,76,50,58,65,42,73,17,26,21,12,58,24,61,82,13,17,83,77,77,75,86
189,84,Argentina,81,85,Right,3,3,1,2020,28,Goalkeeper,GK,5000000,summer,Laliga,2020,12,15,12,32,16,14,19,20,23,15,54,48,58,76,50,58,65,42,73,17,26,21,12,58,24,61,82,13,17,83,77,77,75,86
188,80,Central African Republic,81,84,Left,2,2,4,2022,27,Defensive Midfield,DM,16000000,winter,Laliga,2020,65,69,75,83,62,79,62,56,79,82,65,73,73,83,66,86,78,82,92,80,86,78,77,79,45,84,70,80,81,15,10,10,8,10
184,76,France,81,84,Right,2,3,3,2023,27,Central Midfield,CM,22000000,summer,Premier League,2020,68,73,66,82,68,78,41,42,75,80,65,72,62,78,68,84,72,92,80,75,78,82,73,77,54,74,76,83,76,15,12,12,15,14
163,70,Scotland,81,83,Right,1,4,3,2020,26,Left Winger,LW,4000000,summer,Premier League,2020,82,75,30,78,64,82,83,72,71,81,92,88,95,77,96,71,60,79,50,73,65,45,77,80,69,79,82,53,42,15,14,15,7,10
177,75,Armenia,81,81,Right,3,5,4,2021,31,Central Midfield,CM,6000000,summer,Premier League,2020,77,74,53,81,77,83,82,66,71,83,79,78,80,79,83,83,66,77,59,72,69,60,81,82,72,76,78,53,55,5,11,14,5,7
177,75,Armenia,81,81,Right,3,5,4,2021,31,Central Midfield,CM,6000000,summer,Serie A,2020,77,74,53,81,77,83,82,66,71,83,79,78,80,79,83,83,66,77,59,72,69,60,81,82,72,76,78,53,55,5,11,14,5,7
173,67,Italy,81,81,Right,3,3,4,2023,29,Right-Back,RB,2000000,summer,Ligue 1,2020,77,70,72,77,87,78,73,79,75,79,85,79,87,80,82,82,74,89,63,82,79,79,82,76,76,80,84,79,78,9,8,10,11,10
173,67,Italy,81,81,Right,3,3,4,2023,29,Right-Back,RB,2000000,summer,Serie A,2020,77,70,72,77,87,78,73,79,75,79,85,79,87,80,82,82,74,89,63,82,79,79,82,76,76,80,84,79,78,9,8,10,11,10
182,71,Israel,81,81,Right,1,4,4,2020,33,Centre-Forward,CF,1200000,summer,Eredivisie,2020,60,86,69,78,77,82,74,78,69,83,76,74,89,79,72,79,75,74,68,78,68,38,83,81,65,74,29,41,34,13,12,13,8,16
175,68,Italy,80,88,Right,2,3,3,2020,23,Central Midfield,CM,75000000,summer,Serie A,2020,76,63,40,82,53,80,73,67,78,82,78,74,75,79,83,72,58,83,58,66,82,79,73,76,73,80,57,80,76,11,5,13,14,11
175,68,Italy,80,88,Right,2,3,3,2020,23,Central Midfield,CM,32500000,summer,Serie A,2020,76,63,40,82,53,80,73,67,78,82,78,74,75,79,83,72,58,83,58,66,82,79,73,76,73,80,57,80,76,11,5,13,14,11
183,74,France,80,85,Right,1,3,4,2023,24,Centre-Forward,CF,1500000,winter,Laliga,2020,50,81,76,71,69,75,69,41,48,79,79,85,78,77,68,80,83,74,86,66,75,22,82,68,82,76,81,14,16,7,13,11,10,8
180,75,Netherlands,80,84,Left,1,3,2,2022,25,Centre-Back,CB,45300000,summer,Premier League,2020,63,48,76,77,52,69,62,59,73,74,75,75,73,79,69,63,86,75,78,56,74,81,51,66,53,76,10,82,81,10,7,7,16,10
189,88,Netherlands,80,82,Right,2,4,1,2021,29,Goalkeeper,GK,1500000,summer,Serie A,2020,17,12,19,37,19,15,13,20,38,34,57,45,54,77,42,58,57,40,66,17,18,21,11,57,27,61,80,18,16,79,77,77,79,82
184,82,Australia,80,82,Right,1,4,1,2022,28,Goalkeeper,GK,4000000,winter,Premier League,2020,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,62,78,34,68,18,36,23,10,68,25,64,50,20,17,81,75,82,78,83
180,66,England,80,81,Right,1,3,4,2023,28,Centre-Forward,CF,22250000,summer,Premier League,2020,61,83,78,72,72,78,63,45,62,77,84,89,75,78,73,77,73,75,75,69,73,40,83,72,78,79,67,39,25,10,15,8,10,6
179,70,Netherlands,80,81,Right,2,3,3,2022,27,Central Midfield,CM,11700000,summer,Eredivisie,2020,64,77,75,81,81,73,61,44,76,82,67,64,68,80,66,81,67,87,69,78,78,71,80,79,75,82,26,74,65,12,6,13,16,10
187,80,Russia,80,80,Right,1,4,4,2022,30,Centre-Forward,CF,3000000,summer,Premier Liga,2020,57,82,67,77,79,76,77,69,62,78,88,85,75,74,66,80,67,74,75,81,67,32,84,75,74,73,17,28,24,16,9,16,15,10
177,74,France,80,80,Right,2,3,3,2022,29,Defensive Midfield,DM,7100000,summer,Laliga,2020,68,62,63,81,53,77,68,41,79,81,71,69,75,82,79,74,79,72,77,69,85,81,75,79,52,78,72,82,79,9,9,8,10,15
186,80,Netherlands,80,80,Left,3,3,3,2023,30,Central Midfield,CM,1300000,winter,Serie A,2020,74,68,68,85,63,72,73,70,81,78,59,55,60,81,68,81,52,77,81,70,86,81,76,79,77,82,28,81,74,7,12,11,6,7
194,81,England,80,80,Right,3,3,2,2022,30,Centre-Back,CB,8000000,summer,Premier League,2020,52,54,82,65,49,59,49,22,64,58,61,75,55,76,44,42,74,67,88,35,83,78,46,56,52,67,19,81,79,10,15,16,15,15
194,81,England,80,80,Right,3,3,2,2022,30,Centre-Back,CB,15000000,summer,Serie A,2020,52,54,82,65,49,59,49,22,64,58,61,75,55,76,44,42,74,67,88,35,83,78,46,56,52,67,19,81,79,10,15,16,15,15
190,80,Poland,80,80,Right,3,2,2,2021,32,Centre-Back,CB,3000000,summer,Serie A,2020,29,27,82,63,17,51,35,26,59,58,42,47,33,77,51,57,80,63,90,20,86,79,24,23,39,78,85,79,77,10,14,5,8,10
194,85,Germany,80,80,Right,2,3,2,2022,28,Centre-Back,CB,2500000,summer,Ger Bundesliga,2020,60,50,79,79,51,67,50,62,83,71,66,79,59,78,46,78,54,70,85,57,81,82,55,67,53,78,55,80,78,6,13,8,7,14
188,84,Croatia,80,80,Right,2,4,2,2021,31,Centre-Back,CB,12000000,summer,Premier Liga,2020,59,33,80,68,42,63,26,18,66,67,54,54,50,75,41,63,81,64,82,34,86,81,21,56,52,69,75,82,84,14,14,13,10,7
171,61,Italy,80,80,Left,2,5,4,2023,28,Attacking Midfield,AM,2700000,summer,Serie A,2020,82,67,42,79,74,81,84,84,76,83,87,85,92,78,90,81,51,70,46,77,48,36,76,80,68,78,53,48,60,12,10,7,15,9
171,61,Italy,80,80,Left,2,5,4,2023,28,Attacking Midfield,AM,22000000,summer,Serie A,2020,82,67,42,79,74,81,84,84,76,83,87,85,92,78,90,81,51,70,46,77,48,36,76,80,68,78,53,48,60,12,10,7,15,9
175,70,Italy,79,87,Right,2,4,4,2022,22,Left Winger,LW,12600000,summer,Serie A,2020,72,70,50,76,68,84,74,48,60,81,87,84,86,78,77,81,54,76,60,78,62,30,76,73,62,76,78,34,34,6,7,8,9,7
191,88,England,79,85,Right,1,3,4,2024,25,Central Midfield,CM,25000000,summer,Premier League,2020,62,66,58,84,54,84,60,57,81,81,66,74,73,70,68,76,59,75,83,68,79,59,79,80,45,80,78,67,61,11,7,12,15,13
191,88,England,79,85,Right,1,3,4,2024,24,Central Midfield,CM,25000000,summer,Premier League,2020,62,66,58,84,54,84,60,57,81,81,66,74,73,70,68,76,59,75,83,68,79,59,79,80,45,80,78,67,61,11,7,12,15,13
178,77,England,79,85,Left,1,3,3,2024,23,Left-Back,LB,50200000,summer,Premier League,2020,77,43,68,73,42,78,65,66,69,79,79,78,70,76,72,69,81,87,68,38,74,76,68,64,52,73,33,78,81,10,7,14,7,10
180,73,France,79,83,Right,2,4,4,2022,26,Central Midfield,CM,15800000,winter,Premier League,2020,77,73,69,80,72,76,74,68,82,79,77,74,79,76,69,77,75,79,76,69,68,73,75,78,68,78,80,73,70,6,16,16,9,9
185,87,England,79,82,Right,2,5,4,2023,26,Central Midfield,CM,4500000,summer,Premier League,2020,65,68,65,83,61,83,68,70,79,84,69,70,65,76,61,81,64,69,76,80,74,51,73,80,65,80,78,59,51,9,14,12,6,10
185,87,England,79,82,Right,2,5,4,2023,27,Central Midfield,CM,4500000,summer,Premier League,2020,65,68,65,83,61,83,68,70,79,84,69,70,65,76,61,81,64,69,76,80,74,51,73,80,65,80,78,59,51,9,14,12,6,10
189,87,Germany,79,82,Right,2,3,1,2020,27,Goalkeeper,GK,1200000,summer,Ger Bundesliga,2020,14,18,14,38,14,16,12,14,41,23,55,54,51,74,43,59,74,36,64,16,21,13,8,50,19,60,37,11,13,82,74,78,76,82
182,76,Wales,79,81,Left,2,3,3,2024,25,Centre-Back,CB,1850000,winter,Premier League,2020,78,58,66,79,48,75,72,48,70,78,74,73,68,78,68,65,74,84,69,52,76,79,64,75,54,74,73,82,80,11,7,6,7,14
185,74,England,72,79,Left,1,3,2,2021,25,Centre-Back,CB,1850000,winter,Premier League,2020,61,36,70,65,43,57,44,40,63,62,73,70,61,67,63,42,76,74,77,39,66,69,33,33,48,68,45,73,70,6,15,10,15,6
184,82,Norway,79,80,Right,1,3,4,2021,29,Centre-Forward,CF,4100000,winter,Premier League,2020,65,81,68,74,73,81,70,53,64,79,85,90,74,78,74,79,72,76,77,76,69,34,80,74,81,77,74,39,27,12,9,11,12,7
178,78,France,79,80,Right,1,3,3,2021,29,Right-Back,RB,2500000,winter,Super League 1,2020,84,46,64,75,36,79,76,73,77,78,78,80,67,77,70,67,70,82,72,51,79,77,77,71,78,70,63,74,74,14,6,7,6,15
184,75,Netherlands,79,80,Right,2,4,2,2020,28,Right-Back,RB,1000000,summer,Premier League,2020,70,50,76,74,38,65,40,34,73,72,64,68,67,77,68,60,78,80,75,41,83,79,55,55,42,78,75,82,78,7,10,6,9,11
182,72,Italy,79,80,Right,2,3,3,2021,28,Right Midfield,RM,7000000,summer,Premier League,2020,81,59,69,74,69,76,74,59,68,74,76,80,72,75,68,75,67,86,68,72,75,76,68,64,59,73,30,78,79,11,9,8,6,11
182,72,Italy,79,80,Right,2,3,3,2021,28,Right Midfield,RM,7000000,summer,Serie A,2020,81,59,69,74,69,76,74,59,68,74,76,80,72,75,68,75,67,86,68,72,75,76,68,64,59,73,30,78,79,11,9,8,6,11
180,70,Italy,79,79,Right,3,4,4,2021,33,Right Midfield,RM,1500000,summer,Serie A,2020,79,73,55,78,75,80,74,71,73,83,72,75,73,71,76,87,35,83,63,81,66,67,79,75,83,73,81,63,53,10,4,14,4,14
186,83,Turkey,79,79,Right,3,4,2,2020,30,Centre-Back,CB,4000000,summer,Ger Bundesliga,2020,49,28,79,74,47,64,44,33,69,69,67,75,64,79,61,62,80,65,79,29,70,77,35,59,43,78,77,82,81,11,8,11,12,15
186,80,Croatia,79,79,Right,2,4,3,2020,31,Defensive Midfield,DM,1950000,summer,Serie A,2020,69,54,66,82,66,72,64,58,82,79,54,54,66,78,64,72,56,75,69,74,76,78,62,77,68,72,76,76,76,8,9,14,15,6
192,90,Denmark,78,86,Right,1,3,2,2024,24,Centre-Back,CB,1000000,summer,Premier League,2020,36,40,77,68,33,48,40,36,67,64,60,60,52,73,58,48,77,66,86,38,76,77,28,48,44,71,79,79,76,13,7,9,15,14
