club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
Hamburger SV,Aaron Hunt,28,Germany,Attacking Midfield,AM,,VfL Wolfsburg,Germany,3000000,in,summer,1 Bundesliga,2015,FALSE,,aaron hunt
Everton FC,Aaron Lennon,28,England,Right Winger,RW,,Tottenham,England,6000000,in,summer,Premier League,2015,FALSE,,aaron lennon
US Palermo,Abdelhamid El Kaoutari,25,Morocco,Centre-Back,CB,,Montpellier,France,2000000,in,summer,Serie A,2015,FALSE,,abdelhamid el kaoutari
Club Brugge KV,Abdoulay Diaby,24,Mali,Right Winger,RW,1200000,LOSC Lille,France,2000000,in,summer,Jupiler Pro League,2015,FALSE,,abdoulay diaby
Watford FC,Abdoulaye Doucouré,23,Mali,Central Midfield,CM,12000000,Stade Rennais,France,10600000,in,winter,Premier League,2015,FALSE,,abdoulaye doucoure
Chelsea FC,Abdul Rahman Baba,21,Ghana,Left-Back,LB,1200000,FC Augsburg,Germany,26000000,in,summer,Premier League,2015,FALSE,,abdul rahman baba
Watford FC,Adalberto Peñaranda,18,Venezuela,Left Winger,LW,,Udinese Calcio,Italy,10600000,in,winter,Premier League,2015,FALSE,,adalberto penaranda
Sunderland AFC,Adam Matthews,23,Wales,Right-Back,RB,,Celtic,Scotland,2800000,in,summer,Premier League,2015,FALSE,,adam matthews
AS Monaco,Adama Traoré,20,Mali,Attacking Midfield,AM,3000000,LOSC Lille,France,14000000,in,summer,Ligue 1,2015,FALSE,,adama traore
Aston Villa,Adama Traoré,19,Spain,Right Winger,RW,10000000,Barcelona B,Spain,10000000,in,summer,Premier League,2015,FALSE,,adama traore
Valencia CF,Aderllan Santos,26,Brazil,Centre-Back,CB,,SC Braga,Portugal,9500000,in,summer,Laliga,2015,FALSE,,aderllan santos
Sevilla FC,Adil Rami,29,France,Centre-Back,CB,,AC Milan,Italy,2500000,in,summer,Laliga,2015,FALSE,,adil rami
Bayer 04 Leverkusen,Admir Mehmedi,24,Switzerland,Second Striker,SS,,SC Freiburg,Germany,8000000,in,summer,1 Bundesliga,2015,FALSE,,admir mehmedi
Málaga CF,Adnane Tighadouini,22,Morocco,Left Winger,LW,,NAC Breda,Netherlands,1200000,in,summer,Laliga,2015,FALSE,,adnane tighadouini
Torino FC,Afriyie Acquah,23,Ghana,Central Midfield,CM,,TSG Hoffenheim,Germany,3100000,in,summer,Serie A,2015,FALSE,,afriyie acquah
Juventus FC,Alberto Brignoli,23,Italy,Goalkeeper,GK,1800000,Ternana,Italy,2350000,in,summer,Serie A,2015,FALSE,,alberto brignoli
SSC Napoli,Alberto Grassi,20,Italy,Defensive Midfield,DM,2000000,Atalanta BC,Italy,8000000,in,winter,Serie A,2015,FALSE,,alberto grassi
Swansea City,Alberto Paloschi,26,Italy,Centre-Forward,CF,,Chievo Verona,Italy,8800000,in,winter,Premier League,2015,FALSE,,alberto paloschi
FC Augsburg,Albian Ajeti,18,Switzerland,Centre-Forward,CF,1500000,FC Basel,Switzerland,1000000,in,winter,1 Bundesliga,2015,FALSE,,albian ajeti
Hamburger SV,Albin Ekdal,25,Sweden,Defensive Midfield,DM,,Cagliari Calcio,Italy,4500000,in,summer,1 Bundesliga,2015,FALSE,,albin ekdal
FC Barcelona,Aleix Vidal,25,Spain,Right Winger,RW,1000000,Sevilla FC,Spain,17000000,in,summer,Laliga,2015,FALSE,,aleix vidal
