club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
1.FC Nuremberg,Virgil Misidjan,25.0,Netherlands,Left Winger,LW,3000000.0,Ludogorets,Bulgaria,3000000.0,in,summer,1 Bundesliga,2018,False,,virgil misidjan
1.FSV Mainz 05,Jean-Philippe Mateta,21.0,France,Centre-Forward,CF,7000000.0,Olympique Lyon,France,8000000.0,in,summer,1 Bundesliga,2018,False,,jean-philippe mateta
1.FSV Mainz 05,Pierre Kunde,22.0,Cameroon,Central Midfield,CM,1500000.0,Atl. Madrid B,Spain,7500000.0,in,summer,1 Bundesliga,2018,False,,pierre kunde
1.FSV Mainz 05,Moussa Niakhaté,22.0,Senegal,Centre-Back,CB,18000000.0,FC Metz,France,6000000.0,in,summer,1 Bundesliga,2018,False,,moussa niakhate
1.FSV Mainz 05,Jean-Paul Boëtius,24.0,Netherlands,Attacking Midfield,AM,1200000.0,Feyenoord,Netherlands,3500000.0,in,summer,1 Bundesliga,2018,False,,jean-paul boetius
1.FSV Mainz 05,Issah Abass,19.0,Ghana,Left Winger,LW,,NK Olimpija,Slovenia,2000000.0,in,summer,1 Bundesliga,2018,False,,issah abass
Bayer 04 Leverkusen,Paulinho,18.0,Brazil,Left Winger,LW,10000000.0,Vasco da Gama,Brazil,18500000.0,in,summer,1 Bundesliga,2018,False,,paulinho
Bayer 04 Leverkusen,Mitchell Weiser,24.0,Germany,Right-Back,RB,6000000.0,Hertha BSC,Germany,12000000.0,in,summer,1 Bundesliga,2018,False,,mitchell weiser
Bayern Munich,Alphonso Davies,18.0,Canada,Left-Back,LB,70000000.0,Vancouver,United States,14000000.0,in,winter,1 Bundesliga,2018,False,,alphonso davies
Borussia Dortmund,Abdou Diallo,22.0,Senegal,Centre-Back,CB,9000000.0,1.FSV Mainz 05,Germany,28000000.0,in,summer,1 Bundesliga,2018,False,,abdou diallo
Borussia Dortmund,Thomas Delaney,26.0,Denmark,Central Midfield,CM,2000000.0,Werder Bremen,Germany,20000000.0,in,summer,1 Bundesliga,2018,False,,thomas delaney
