sofifa_id,player_url,short_name,long_name,age_x,dob,height_cm,weight_kg,nationality_x,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,club,name,age_y,nationality_y,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
7826,https://sofifa.com/player/7826/robin-van-persie/150002,R. van Persie,Robin van Persie,30,1983-08-06,187,71,Netherlands,Manchester United,English Premier League,1.0,88,88,40500000,230000,ST,Left,5,3,4,Medium/Low,Normal,Yes,,"#Distance Shooter, #Clinical Finisher",RS,20.0,,2012-08-17,2016.0,LS,9.0,74.0,90.0,82.0,83.0,33.0,68.0,,,,,,,"Injury Prone, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",81,91,73,85,92,84,86,81,75,87,73,74,80,88,59,90,59,72,72,86,55,34,90,82,86,,23,32,21,9,10,5,7,8,Fenerbahce,Robin van Persie,31,Netherlands,Centre-Forward,CF,,Man Utd,England,6500000.0,in,summer,Super Lig,2015,False,
121944,https://sofifa.com/player/121944/bastian-schweinsteiger/150002,B. Schweinsteiger,Bastian Schweinsteiger,29,1984-08-01,183,79,Germany,FC Bayern München,German 1. Bundesliga,1.0,88,88,39000000,200000,"CM, CDM",Right,4,3,3,High/High,Normal,Yes,,"#Playmaker, #Engine, #Tactician",SUB,31.0,,2002-07-01,2016.0,SUB,7.0,61.0,81.0,85.0,82.0,78.0,80.0,,,,,,,"Injury Prone, Leadership, Playmaker (AI), One Club Player",81,76,79,88,83,81,82,78,87,86,58,64,74,90,75,86,82,86,77,86,80,86,82,86,81,,69,80,77,14,14,13,13,11,Manchester United,Bastian Schweinsteiger,30,Germany,Central Midfield,CM,,Bayern Munich,Germany,9000000.0,in,summer,Premier League,2015,False,
143745,https://sofifa.com/player/143745/arda-turan/150002,A. Turan,Arda Turan,27,1987-01-30,177,76,Turkey,Atlético Madrid,Spain Primera Division,1.0,84,88,23000000,180000,"LM, RM, CAM",Right,3,4,4,High/High,Normal,Yes,,"#Dribbler, #Acrobat",LM,10.0,,2011-08-09,2017.0,LM,14.0,76.0,74.0,83.0,86.0,61.0,72.0,,,,,,,"Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",82,72,70,85,80,86,81,64,80,88,79,73,86,83,85,74,79,71,69,77,78,51,82,86,73,,58,64,70,11,7,11,12,11,FC Barcelona,Arda Turan,28,Turkey,Left Winger,LW,,Atlético Madrid,Spain,34000000.0,in,summer,Laliga,2015,False,
188428,https://sofifa.com/player/188428/seydou-doumbia/150002,S. Doumbia,Seydou Doumbia,26,1987-12-31,178,74,Ivory Coast,PFC CSKA Moscow,Russian Premier League,1.0,82,84,19500000,150000,ST,Right,2,4,4,High/Medium,Normal,No,,#Speedster,ST,88.0,,2010-07-01,2015.0,SUB,21.0,93.0,82.0,68.0,82.0,38.0,73.0,,,,,,,"Beat Offside Trap, Flair, Technical Dribbler (AI)",45,86,72,75,79,86,78,70,64,81,91,94,70,79,70,80,83,94,66,75,64,28,85,77,78,,33,38,36,11,14,12,5,11,Newcastle United,Seydou Doumbia,28,Cote d'Ivoire,Centre-Forward,CF,,AS Roma,Italy,1000000.0,in,winter,Premier League,2015,True,loan with fee
188428,https://sofifa.com/player/188428/seydou-doumbia/150002,S. Doumbia,Seydou Doumbia,26,1987-12-31,178,74,Ivory Coast,PFC CSKA Moscow,Russian Premier League,1.0,82,84,19500000,150000,ST,Right,2,4,4,High/Medium,Normal,No,,#Speedster,ST,88.0,,2010-07-01,2015.0,SUB,21.0,93.0,82.0,68.0,82.0,38.0,73.0,,,,,,,"Beat Offside Trap, Flair, Technical Dribbler (AI)",45,86,72,75,79,86,78,70,64,81,91,94,70,79,70,80,83,94,66,75,64,28,85,77,78,,33,38,36,11,14,12,5,11,CSKA Moscow,Seydou Doumbia,27,Cote d'Ivoire,Centre-Forward,CF,,AS Roma,Italy,1000000.0,in,summer,Premier Liga,2015,True,loan with fee
192985,https://sofifa.com/player/192985/kevin-de-bruyne/150002,K. De Bruyne,Kevin De Bruyne,23,1991-06-28,181,76,Belgium,VfL Wolfsburg,German 1. Bundesliga,1.0,81,86,12000000,90000,"CAM, LM, RM",Right,2,5,4,High/Medium,Normal,Yes,,,LM,14.0,,2014-01-18,2019.0,RCM,7.0,77.0,80.0,80.0,82.0,41.0,69.0,,,,,,,"Long Passer (AI), Long Shot Taker (AI)",78,78,41,82,78,82,76,76,81,83,75,78,78,78,79,82,65,83,74,83,42,52,82,80,75,,37,39,40,15,13,5,10,13,Manchester City,Kevin De Bruyne,24,Belgium,Attacking Midfield,AM,70000000.0,VfL Wolfsburg,Germany,76000000.0,in,summer,Premier League,2015,False,
167943,https://sofifa.com/player/167943/yohan-cabaye/150002,Y. Cabaye,Yohan Cabaye,28,1986-01-14,175,72,France,Paris Saint-Germain,French Ligue 1,1.0,81,81,11000000,120000,"CM, CAM, CDM",Right,3,4,3,Medium/Medium,Normal,Yes,,,SUB,4.0,,2014-01-29,2017.0,SUB,6.0,68.0,75.0,82.0,78.0,71.0,73.0,,,,,,,"Finesse Shot, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",77,70,69,85,73,74,79,83,82,83,67,69,78,79,77,82,70,83,66,81,77,79,70,84,82,,68,72,66,13,8,15,7,11,Crystal Palace,Yohan Cabaye,29,France,Central Midfield,CM,,Paris SG,France,13900000.0,in,summer,Premier League,2015,False,
177326,https://sofifa.com/player/177326/mathieu-valbuena/150002,M. Valbuena,Mathieu Valbuena,29,1984-09-28,167,58,France,Dinamo Moscow,Russian Premier League,1.0,81,81,11500000,90000,"CAM, RW",Right,3,3,4,High/Medium,Normal,Yes,,#Acrobat,CAM,14.0,,2014-08-02,2017.0,CAM,8.0,86.0,73.0,80.0,83.0,33.0,50.0,,,,,,,"Diver, Finesse Shot, Speed Dribbler (AI)",80,71,58,82,72,80,82,75,75,83,90,82,91,78,93,75,46,81,35,76,52,39,76,80,72,,28,26,34,14,12,8,6,8,Olympique Lyon,Mathieu Valbuena,30,France,Attacking Midfield,AM,,Dinamo Moscow,Russia,6000000.0,in,summer,Ligue 1,2015,False,
190813,https://sofifa.com/player/190813/stephan-el-shaarawy/150002,S. El Shaarawy,Stephan El Shaarawy,21,1992-10-27,178,72,Italy,Milan,Italian Serie A,1.0,80,87,9500000,100000,LW,Right,3,4,4,High/High,Lean,Yes,,,SUB,92.0,,2011-07-01,2018.0,SUB,11.0,87.0,76.0,72.0,84.0,33.0,60.0,,,,,,,"Injury Prone, Finesse Shot, Speed Dribbler (AI)",73,77,53,73,77,83,85,70,55,87,88,86,84,71,83,75,60,74,55,72,53,40,79,77,73,,24,34,24,4,2,4,4,2,AS Monaco,Stephan El Shaarawy,22,Italy,Left Winger,LW,5000000.0,AC Milan,Italy,2000000.0,in,summer,Ligue 1,2015,True,loan with fee
190813,https://sofifa.com/player/190813/stephan-el-shaarawy/150002,S. El Shaarawy,Stephan El Shaarawy,21,1992-10-27,178,72,Italy,Milan,Italian Serie A,1.0,80,87,9500000,100000,LW,Right,3,4,4,High/High,Lean,Yes,,,SUB,92.0,,2011-07-01,2018.0,SUB,11.0,87.0,76.0,72.0,84.0,33.0,60.0,,,,,,,"Injury Prone, Finesse Shot, Speed Dribbler (AI)",73,77,53,73,77,83,85,70,55,87,88,86,84,71,83,75,60,74,55,72,53,40,79,77,73,,24,34,24,4,2,4,4,2,AC Milan,Stephan El Shaarawy,23,Italy,Left Winger,LW,5000000.0,Monaco,France,5000000.0,in,winter,Serie A,2015,True,end of loan
